"n","K","mu_x","sigma_x_sq","icc_x","beta_1","beta_2","beta_3","beta_4","bar_W","sigma_gamma_sq","cond_icc","p.val","sd.model","sd.model.approx","sigma.gamma.sq.model","sd.ss","beta4.ss","power.ss","R","time"
50,16,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.833886790610097,0.185937905683269,0.184867321362601,0.13939426935128,0.174639975112725,2.04386638931348,5.00000000000001,200,0.390178898970286
50,16,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,1.67897772672319e-05,0.169595364448096,0.169272696529951,0.00636056684251657,0.185035090147482,1.92904370235365,77.1026408873594,200,0.390178898970286
50,16,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.757084637148335,0.176271235359827,0.173853594059407,0.0502717581469651,0.174311387635398,2.04771920071019,5.00000000000001,200,0.390178898970286
50,16,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,1.39161635673596e-05,0.189313829991041,0.188699538394076,0.059465166419227,0.183475879971345,1.94543705373801,77.7922151079891,200,0.390178898970286
50,16,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.540115377008244,0.16521763247949,0.160879694527493,0.0244519939492774,0.173755442196095,2.05427105391387,5.00000000000001,200,0.390178898970286
50,16,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00224039757209822,0.180389896817277,0.175803974538738,0.022551440258612,0.184624671880371,1.93333194165254,77.2841738073749,200,0.390178898970286
50,16,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.222109656262567,0.155758687684892,0.155758489047834,0,0.174691538679228,2.04326310285047,5.00000000000001,200,0.390178898970286
50,16,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00258141517241576,0.162975332340111,0.162068060413216,0.00632787800888178,0.185460194477852,1.92462202667467,76.9146099609478,200,0.390178898970286
50,16,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.90682513538151,0.161992266265272,0.159701408269896,0.0370248962742749,0.17390676780092,2.05248352250471,5.00000000000001,200,0.390178898970286
50,16,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.011665771418423,0.177587770837962,0.172648181166407,0.0775583975138233,0.182640125366086,1.95433930330471,78.1616596455452,200,0.390178898970286
