"n","K","mu_x","sigma_x_sq","icc_x","beta_1","beta_2","beta_3","beta_4","bar_W","sigma_gamma_sq","cond_icc","p.val","sd.model","sd.model.approx","sigma.gamma.sq.model","sd.ss","beta4.ss","power.ss","R","time"
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.80215468550339,0.172822971660841,0.170629833638629,0.268881515927306,0.16263250904356,2.19476891466907,5.00000000000001,1000,1.13207552830378
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.17547553230796,0.169232755604146,0.169232765883144,0,0.174619908253085,2.04410126505226,81.6843344688862,1000,1.13207552830378
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.321804666695131,0.173370335430459,0.171837070549384,0.122825636995741,0.162595584371315,2.19526733609386,5.00000000000001,1000,1.13207552830378
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,1.33373811908049e-05,0.176581368395906,0.174241041033677,0.131494668868909,0.174745688684326,2.04262993868905,81.6296112979523,1000,1.13207552830378
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.817216016538643,0.167434693769421,0.166611129968262,0.0440670209042956,0.162485345737188,2.19675672131551,5.00000000000001,1000,1.13207552830378
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00205484350706975,0.174491281411318,0.173908195267376,0.0395387960455628,0.175033799421767,2.03926771025147,81.5041777974261,1000,1.13207552830378
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.163810295822052,0.165265945317636,0.164185203079249,0.0562491151792723,0.162346429223241,2.19863644104309,5.00000000000001,1000,1.13207552830378
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.0131872344492885,0.173050818021706,0.17221539116757,0.101203255860631,0.174906274083652,2.0407545540232,81.5597124610331,1000,1.13207552830378
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.392144954717744,0.15987043072713,0.158494482259858,0.118395228738724,0.162367860880569,2.19834623322403,5.00000000000001,1000,1.13207552830378
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00145264790747766,0.168762059658443,0.168671111609748,0.00371409881873317,0.174763528556073,2.04242142689924,81.621847868274,1000,1.13207552830378
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.970605046429845,0.159463648239472,0.158980270438021,0.0290140021648213,0.162722757696046,2.19355166061148,5.00000000000001,1000,1.13207552830378
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.051575247345145,0.178444589583175,0.176993819629693,0.0841643605336452,0.174860106137252,2.04129337015997,81.5798119909996,1000,1.13207552830378
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.94733459091024,0.166823434137197,0.164930678355032,0.188009588027178,0.162436950522201,2.19741120610768,5.00000000000001,1000,1.13207552830378
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00884688861070328,0.176457651139944,0.176314484027877,0.00443963927114324,0.174729077237448,2.04282413097379,81.6368397379044,1000,1.13207552830378
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.115473068586265,0.16981820744228,0.169093340633781,0.047832899147579,0.162526560041173,2.19619965667777,5.00000000000001,1000,1.13207552830378
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00937065857799257,0.169348530564314,0.167572186925449,0.0920595455193188,0.174956012436849,2.04017438664636,81.5380551525252,1000,1.13207552830378
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.173250764594958,0.176302990562484,0.174553624805044,0.181318353644321,0.16262901187375,2.19481611091961,5.00000000000001,1000,1.13207552830378
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,2.0038965746284e-05,0.18357759497581,0.181423945731422,0.221522066642736,0.174742568627293,2.04266641017941,81.6309690152786,1000,1.13207552830378
