"n","K","mu_x","sigma_x_sq","icc_x","beta_1","beta_2","beta_3","beta_4","bar_W","sigma_gamma_sq","cond_icc","p.val","sd.model","sd.model.approx","sigma.gamma.sq.model","sd.ss","beta4.ss","power.ss","R","time"
20,38,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.118327387382133,0.160350082077123,0.156390965437652,0.134902601538452,0.165157433099136,2.16121532446674,5.00000000000001,2000,2.61575998067856
20,38,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.0728093031516796,0.174895771731945,0.174895979757266,1.81213017751482e-14,0.175236477252035,2.03690910112321,81.4158691717432,2000,2.61575998067856
20,38,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.280781153631069,0.15319977985129,0.151514073056688,0.0951086354130688,0.165096075523072,2.16201853516233,5.00000000000001,2000,2.61575998067856
20,38,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.000492047239983098,0.173249440392582,0.173249227812986,0,0.17550652476672,2.03377495986477,81.2981200483608,2000,2.61575998067856
20,38,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.866639647233093,0.189381627180237,0.183317552254168,0.128975505203756,0.165232082516068,2.16023891927121,5.00000000000001,2000,2.61575998067856
20,38,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.000343853467869659,0.151009170721493,0.1510095991132,1.00000000000002e-12,0.175842098640046,2.02989374060026,81.1516652900117,2000,2.61575998067856
20,38,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.730325911115253,0.164916239923897,0.163568608772383,0.168843831992892,0.165186551983215,2.1608343480631,5.00000000000001,2000,2.61575998067856
20,38,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.000109682736276821,0.159401457913474,0.156641288953346,0.0418108999477553,0.175750735237858,2.03094897372898,81.1915535163971,2000,2.61575998067856
20,38,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.206056136343742,0.169807549912622,0.166470077892052,0.172602696473148,0.164732885187618,2.16678518655771,5.00000000000001,2000,2.61575998067856
20,38,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00011966034581086,0.178420091139866,0.178420104889808,0,0.175941055745055,2.02875203773167,81.1084497696659,2000,2.61575998067856
20,38,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.434867094126253,0.184994232415875,0.181380447311888,0.161184459538966,0.165034892402429,2.16282005682205,5.00000000000001,2000,2.61575998067856
20,38,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.923362848126244,0.158124157481177,0.158123883519861,0,0.175390162394089,2.03512426518782,81.3488696736162,2000,2.61575998067856
20,38,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.561195867713079,0.170068118163834,0.163219294382545,0.176616792921127,0.165309281712534,2.15923009080728,5.00000000000001,2000,2.61575998067856
