"n","K","mu_x","sigma_x_sq","icc_x","beta_1","beta_2","beta_3","beta_4","bar_W","sigma_gamma_sq","cond_icc","p.val","sd.model","sd.model.approx","sigma.gamma.sq.model","sd.ss","beta4.ss","power.ss","R","time"
100,8,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.856909278802316,0.140345650525267,0.139897263724345,0.0692351787280716,0.144676411707312,2.46716635525597,5.00000000000001,1000,3.32882976134618
100,8,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.000713275631562795,0.155449020271951,0.154679565851801,0.0674769148986535,0.155506657518844,2.29534079799887,89.5321062121003,1000,3.32882976134618
100,8,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.558020777119254,0.144827021214369,0.144667895905821,0.0130822074671589,0.144515748576402,2.46990918899565,5.00000000000001,1000,3.32882976134618
100,8,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00425014192542404,0.146997052738768,0.146702569752971,0.00357602427651852,0.155395018288288,2.29698982177953,89.5739552924163,1000,3.32882976134618
100,8,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.905009011383639,0.153157061611846,0.15211465545912,0.0688050318243765,0.144453571442103,2.4709723117265,5.00000000000001,1000,3.32882976134618
100,8,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.000194222039780674,0.155136493901821,0.155136468017169,0,0.155377908527174,2.29724275958455,89.5803636301262,1000,3.32882976134618
100,8,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.0653893609061574,0.150400264618091,0.149967435568269,0.0666618951379252,0.14455533409115,2.46923282082673,5.00000000000001,1000,3.32882976134618
100,8,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.0359133668121501,0.154671217237721,0.153849136697957,0.090312552528392,0.155599192326647,2.2939757592965,89.4973722017093,1000,3.32882976134618
100,8,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.932269675350299,0.141585732163733,0.141189711052538,0.0827212784298085,0.144408084462173,2.47175064119724,5.00000000000001,1000,3.32882976134618
100,8,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.173360241566751,0.149150054618587,0.148552193291333,0.0550166713654186,0.1554341495956,2.29641154335846,89.5592935162667,1000,3.32882976134618
100,8,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.389009502351643,0.144744534879261,0.144207108108949,0.0361919932743196,0.144478505507127,2.47054587193135,5.00000000000001,1000,3.32882976134618
100,8,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.0132163579092453,0.149506673044166,0.149126955416405,0.0584536044799397,0.155482117942897,2.29570306917567,89.5413103758948,1000,3.32882976134618
100,8,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.931018089581987,0.146560458195464,0.1462552336226,0.033978111218564,0.144579079428435,2.46882727967654,5.00000000000001,1000,3.32882976134618
100,8,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.0500926796614371,0.158181715455033,0.15723940446022,0.00331344275661043,0.155451575048742,2.29615412549871,89.5527620937299,1000,3.32882976134618
100,8,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.204093665581799,0.15175826408003,0.151758045215954,0,0.1445349811054,2.46958053084151,5.00000000000001,1000,3.32882976134618
100,8,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00107756892826768,0.153830679490706,0.153139459144018,0.0254188587494169,0.155578185168287,2.29428550652744,89.5052611641677,1000,3.32882976134618
100,8,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.42343356220878,0.15211329824469,0.151570772313743,0.164737937326808,0.144430032507443,2.47137502613971,5.00000000000001,1000,3.32882976134618
100,8,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00182023186699926,0.162470374038979,0.162232731242065,0.032438087285761,0.155494917726835,2.29551409513266,89.5365098753752,1000,3.32882976134618
100,8,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.918278301740571,0.150269256729184,0.14987109291584,0.0693364705426209,0.144545859367791,2.46939467463554,5.00000000000001,1000,3.32882976134618
100,8,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00893606271505922,0.15088253212768,0.150552296313828,0.0369592623072695,0.15542029133197,2.29661630604612,89.5644868142025,1000,3.32882976134618
100,8,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.594872810695048,0.150198292089107,0.149720292345487,0.0889794171794334,0.144536660445311,2.46955183732434,5.00000000000001,1000,3.32882976134618
