"n","K","mu_x","sigma_x_sq","icc_x","beta_1","beta_2","beta_3","beta_4","bar_W","sigma_gamma_sq","cond_icc","p.val","sd.model","sd.model.approx","sigma.gamma.sq.model","sd.ss","beta4.ss","power.ss","R","time"
20,32,0,1,0.01,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.234772783621856,0.1638689164608,0.162421945077291,0.119837747840631,0.16266510016724,2.1943291769191,5.00000000000001,1000,1.12837376594543
20,32,0,1,0.01,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,1.83270533391227e-06,0.180383521961289,0.180076086805679,0.0296455799918321,0.174961156169587,2.04011440697995,81.5358152449966,1000,1.12837376594543
20,32,0,1,0.01,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.846783201406579,0.17022774334122,0.168432600560545,0.085703745226093,0.162974812674435,2.19015913874054,5.00000000000001,1000,1.12837376594543
20,32,0,1,0.01,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.000755567031804993,0.172334979664135,0.171590986468943,0.0356172655644839,0.175095642114455,2.03854745356895,81.4772383792302,1000,1.12837376594543
20,32,0,1,0.01,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.376712159012236,0.160220444474592,0.160220333656707,0,0.162552632374367,2.19584740123672,5.00000000000001,1000,1.12837376594543
20,32,0,1,0.01,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.267371858294265,0.167374419116565,0.167374494425454,0,0.174839363985911,2.0415355399726,81.5888412409707,1000,1.12837376594543
20,32,0,1,0.01,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.0150943124858792,0.180194031226944,0.178057279144039,0.188656372770594,0.162944451464611,2.19056722800385,5.00000000000001,1000,1.12837376594543
20,32,0,1,0.01,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.0151233972645043,0.173013104739178,0.172243549960578,0.0652513156070688,0.174956882307018,2.04016424307948,81.5376763584908,1000,1.12837376594543
20,32,0,1,0.01,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.548962126681975,0.165643316349223,0.163606723403285,0.29381067428711,0.162794203189506,2.1925889765739,5.00000000000001,1000,1.12837376594543
20,32,0,1,0.01,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00598269835730583,0.177543953780256,0.175955375403578,0.0898011914947667,0.175128657917541,2.03816314021835,81.4628541257789,1000,1.12837376594543
20,32,0,1,0.01,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.963255676139041,0.155396517696283,0.155218207735218,0.00665742580770943,0.162853179485845,2.19179494370552,5.00000000000001,1000,1.12837376594543
20,32,0,1,0.01,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,3.73769143936952e-06,0.179245486173569,0.177550512855684,0.105713597057912,0.174928680303575,2.04049315837745,81.5499566715302,1000,1.12837376594543
20,32,0,1,0.01,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.155021647765856,0.176593396667545,0.174785598716261,0.0526987291307554,0.162829012302575,2.19212025127415,5.00000000000001,1000,1.12837376594543
20,32,0,1,0.01,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.0194069991043808,0.167383665353592,0.16548639352151,0.11195982514942,0.175034744570422,2.03925669865981,81.5037661194358,1000,1.12837376594543
20,32,0,1,0.01,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.086157961547311,0.169733637688452,0.169605879662605,0.0079175698540296,0.16275068395559,2.19317527083844,5.00000000000001,1000,1.12837376594543
20,32,0,1,0.01,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.0168626421528676,0.175699282452446,0.174463799360682,0.179021481635648,0.175088905596306,2.03862588636211,81.4801731453414,1000,1.12837376594543
20,32,0,1,0.01,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.700148878611806,0.168303529864625,0.168303710285559,0,0.162816966931853,2.19228242663948,5.00000000000001,1000,1.12837376594543
20,32,0,1,0.01,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.0118159280324523,0.173139058803442,0.172527796805202,0.0505238442522746,0.174877025263606,2.04109587766258,81.5724464855008,1000,1.12837376594543
20,32,0,1,0.01,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.235179066663518,0.155748400738493,0.154659937889842,0.091021554684494,0.162639259279074,2.19467782222842,5.00000000000001,1000,1.12837376594543
20,32,0,1,0.01,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00464310135123952,0.17250725714078,0.171951847763529,0.0604263122878614,0.175076905406367,2.03876561865744,81.4854008755641,1000,1.12837376594543
20,32,0,1,0.01,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.388751458719673,0.15923720391186,0.158303990693908,0.060516625672014,0.162619735858199,2.19494130573848,5.00000000000001,1000,1.12837376594543
20,32,0,1,0.01,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,1.46706459527871e-05,0.175791650565936,0.174356637399289,0.0542850347502314,0.175052352981911,2.03905157104815,81.4960962033328,1000,1.12837376594543
