"k_max","n_per","sd_n_per","p_trt","scenario","Delta.est","Delta.mean","Delta.sd.scale","gamma","icc_y","icc_x","mu_x","sigma_x_sq","sigma_eps_sq","p_value_ci","p_value_pi","p_value_truedelta","p_value_ci_residuals","p_value_pi_residuals","p_value_truedelta_residuals","p_value_z_score","p_val_sw_cor","p_value_lr_test","time","R"
20,50,0,0.5,1,1.06474358803131,1,1,1e-04,0.1,0.01,0,1,0.1,0.706686826347305,0.686726746506986,0.678642714570858,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.215914891569756,0.216210020477623,0.215260834296676,8.34150379896164,500
20,50,0,0.5,2,1.028986993387,1,1,1e-04,0.1,0.01,0,1,0.1,0.0200600798403194,0.0120760479041916,0.00798403193612774,0.0160680638722555,0.00209600798403194,0.00399201596806387,0,2.73026574736777e-37,1.79755582083687e-37,8.34150379896164,500
20,50,0,0.5,3,0.974201671693987,1,1,1e-04,0.1,0.01,0,1,0.1,0.0100800399201597,0.00409201596806387,0.00399201596806387,0.00409201596806387,0.00209600798403194,0.00199600798403194,0.719489258534744,0.719566128590188,0.722936343188515,8.34150379896164,500
20,50,0,0.5,4,2.3154173615952,1,1,1e-04,0.1,0.01,0,1,0.1,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.000119329444103533,0.000126921544914903,0.000122530489998262,8.34150379896164,500
20,50,0,0.5,1,0.951345192748276,1,1,1e-04,0.1,0.01,0,1,0.1,0.181736726546906,0.169760678642715,0.173652694610778,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.750666253452593,0.750733571856465,0.750586271135642,8.34150379896164,500
20,50,0,0.5,2,0.979786458525877,1,1,1e-04,0.1,0.01,0,1,0.1,0.0280441117764471,0.0200600798403194,0.0179640718562874,0.00808403193612774,0.00209600798403194,0.00399201596806387,0,8.38386095236839e-42,8.09430036316358e-42,8.34150379896164,500
20,50,0,0.5,3,1.04659147225184,1,1,1e-04,0.1,0.01,0,1,0.1,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.00409201596806387,0.00209600798403194,0.00199600798403194,0.601104483054093,0.601221498841489,0.588370293718297,8.34150379896164,500
20,50,0,0.5,4,2.21252747325257,1,1,1e-04,0.1,0.01,0,1,0.1,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.000290308840029452,0.000304987509522013,0.000319030195527427,8.34150379896164,500
20,50,0,0.5,1,0.97762485673256,1,1,1e-04,0.1,0.01,0,1,0.1,0.99011996007984,0.984131936127745,0.976047904191617,0.00608802395209581,0.00209600798403194,0.00199600798403194,0.899200361380163,0.899226118679906,0.904448157708539,8.34150379896164,500
20,50,0,0.5,2,0.995834708267742,1,1,1e-04,0.1,0.01,0,1,0.1,0.0140720558882236,0.00209600798403194,0.00199600798403194,0.0659682634730539,0.0240520958083832,0.0199600798403194,0,1.64909888616489e-38,1.26944884387771e-38,8.34150379896164,500
20,50,0,0.5,3,1.0379086514606,1,1,1e-04,0.1,0.01,0,1,0.1,0.00409201596806387,0.00209600798403194,0.00199600798403194,0.00608802395209581,0.00409201596806387,0.00399201596806387,0.0577659149704353,0.0580574757643796,0.0576365545773053,8.34150379896164,500
20,50,0,0.5,4,2.11918423829014,1,1,1e-04,0.1,0.01,0,1,0.1,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.00209600798403194,0.00209600798403194,0.00199600798403194,7.01603632968784e-08,8.76176158854744e-08,7.85340440946784e-08,8.34150379896164,500
20,50,0,0.5,1,0.958339972814512,1,1,1e-04,0.1,0.01,0,1,0.1,0.848403393213573,0.836427345309381,0.780439121756487,0.0160680638722555,0.00808403193612774,0.0119760479041916,0.661993751589877,0.662089408587262,0.657205767805038,8.34150379896164,500
20,50,0,0.5,2,1.04050844047072,1,1,1e-04,0.1,0.01,0,1,0.1,0.032036127744511,0.0180640718562874,0.0199600798403194,0.00808403193612774,0.00209600798403194,0.00598802395209581,0,4.39567619185597e-46,3.84757635813705e-46,8.34150379896164,500
20,50,0,0.5,3,1.14585445633375,1,1,1e-04,0.1,0.01,0,1,0.1,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.605319150886575,0.605434003425369,0.595934913445122,8.34150379896164,500
20,50,0,0.5,4,2.28383556548919,1,1,1e-04,0.1,0.01,0,1,0.1,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.00209600798403194,0.00209600798403194,0.00199600798403194,5.3318531818336e-05,5.74366762373089e-05,5.86977889263286e-05,8.34150379896164,500
20,50,0,0.5,1,1.08472198874077,1,1,1e-04,0.1,0.01,0,1,0.1,0.483133932135729,0.457185828343313,0.459081836327345,0.0160680638722555,0.00409201596806387,0.00399201596806387,0.977801538759473,0.977807166883397,0.982224905023792,8.34150379896164,500
20,50,0,0.5,2,1.05982355208117,1,1,1e-04,0.1,0.01,0,1,0.1,0.00409201596806387,0.00209600798403194,0.00199600798403194,0.0380241516966068,0.0120760479041916,0.0119760479041916,0,2.28494074736218e-39,1.45744278751201e-39,8.34150379896164,500
20,50,0,0.5,3,1.07939415692692,1,1,1e-04,0.1,0.01,0,1,0.1,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.000628704269640235,0.000654255200188831,0.000605138569595092,8.34150379896164,500
20,50,0,0.5,4,2.29731210275351,1,1,1e-04,0.1,0.01,0,1,0.1,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.102290939059083,0.102606965375598,0.101833440300662,8.34150379896164,500
20,50,0,0.5,1,1.01245557264125,1,1,1e-04,0.1,0.01,0,1,0.1,0.968163872255489,0.950199800399202,0.924151696606786,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.531052301704047,0.531197136879306,0.53518485269838,8.34150379896164,500
20,50,0,0.5,2,0.998366300523469,1,1,1e-04,0.1,0.01,0,1,0.1,0.291517165668663,0.233632934131737,0.245508982035928,0.00808403193612774,0.00409201596806387,0.00399201596806387,0,6.54923843986476e-40,5.26839618786411e-40,8.34150379896164,500
