"k_max","n_per","sd_n_per","p_trt","scenario","Delta.est","Delta.mean","Delta.sd.scale","gamma","icc_y","icc_x","mu_x","sigma_x_sq","sigma_eps_sq","p_value_ci","p_value_pi","p_value_truedelta","p_value_ci_residuals","p_value_pi_residuals","p_value_truedelta_residuals","p_value_z_score","p_val_sw_cor","p_value_lr_test","time","R"
20,50,0,0.5,1,0.996612075426302,1,1,1e-04,0.1,0.01,0,1,0.1,0.19570878243513,0.171756686626747,0.17564870259481,0.00409201596806387,0.00209600798403194,0.00199600798403194,0.246602376572518,0.246883185818327,0.242376461596753,6.72535593509674,500
20,50,0,0.5,2,0.854061591898375,1,1,1e-04,0.1,0.01,0,1,0.1,0.0819363273453094,0.0579842315369262,0.0698602794411178,0.00209600798403194,0.00209600798403194,0.00199600798403194,0,1.12340266176348e-54,1.59744279096048e-54,6.72535593509674,500
20,50,0,0.5,3,1.05753358403247,1,1,1e-04,0.1,0.01,0,1,0.1,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.256426837046091,0.256700321078915,0.249657993187006,6.72535593509674,500
20,50,0,0.5,4,2.31344355740251,1,1,1e-04,0.1,0.01,0,1,0.1,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.131238885568537,0.13155603083212,0.130686967100116,6.72535593509674,500
20,50,0,0.5,1,1.12927533363285,1,1,1e-04,0.1,0.01,0,1,0.1,0.293513173652695,0.279541117764471,0.245508982035928,0.00409201596806387,0.00209600798403194,0.00199600798403194,0.442829385304275,0.443012025080719,0.453857138355077,6.72535593509674,500
20,50,0,0.5,2,1.04349369597196,1,1,1e-04,0.1,0.01,0,1,0.1,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.00209600798403194,0.00209600798403194,0.00199600798403194,0,9.24861043443379e-47,7.1977041359176e-47,6.72535593509674,500
20,50,0,0.5,3,0.998162813871512,1,1,1e-04,0.1,0.01,0,1,0.1,0.00409201596806387,0.00409201596806387,0.00199600798403194,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.176129450466837,0.176439571356937,0.179967535097476,6.72535593509674,500
20,50,0,0.5,4,2.2661921210383,1,1,1e-04,0.1,0.01,0,1,0.1,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.00200250864173479,0.00205837797184643,0.00199667035293527,6.72535593509674,500
20,50,0,0.5,1,1.03193970474988,1,1,1e-04,0.1,0.01,0,1,0.1,0.768563073852295,0.640818562874252,0.664670658682635,0.0100800399201597,0.00409201596806387,0.00399201596806387,0.791420462779226,0.791475307445355,0.792306733615637,6.72535593509674,500
20,50,0,0.5,2,1.02105774081135,1,1,1e-04,0.1,0.01,0,1,0.1,0.00409201596806387,0.00209600798403194,0.00199600798403194,0.00808403193612774,0.00209600798403194,0.00199600798403194,0,7.89684289644232e-47,4.59067076546972e-47,6.72535593509674,500
20,50,0,0.5,3,0.954580805762516,1,1,1e-04,0.1,0.01,0,1,0.1,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.953087250840399,0.953099141108816,0.96266619152836,6.72535593509674,500
20,50,0,0.5,4,2.14652125508477,1,1,1e-04,0.1,0.01,0,1,0.1,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.166898906517066,0.167208899865655,0.167823436691599,6.72535593509674,500
20,50,0,0.5,1,1.06297323210725,1,1,1e-04,0.1,0.01,0,1,0.1,0.0440121756487026,0.0260481037924152,0.029940119760479,0.00409201596806387,0.00409201596806387,0.00199600798403194,0.120151622832182,0.120471718400273,0.117717114405288,6.72535593509674,500
20,50,0,0.5,2,0.97183690998147,1,1,1e-04,0.1,0.01,0,1,0.1,0.37135748502994,0.30948123752495,0.337325349301397,0.00409201596806387,0.00409201596806387,0.00199600798403194,0,1.82783505475757e-41,2.60831022049869e-41,6.72535593509674,500
20,50,0,0.5,3,1.020538542419,1,1,1e-04,0.1,0.01,0,1,0.1,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.279475010138559,0.279739513754099,0.286384175092414,6.72535593509674,500
20,50,0,0.5,4,2.25224747979585,1,1,1e-04,0.1,0.01,0,1,0.1,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.106298052381236,0.106614865932628,0.104839955096626,6.72535593509674,500
