"k_max","n_per","sd_n_per","p_trt","scenario","Delta.est","Delta.mean","Delta.sd.scale","gamma","icc_y","icc_x","mu_x","sigma_x_sq","sigma_eps_sq","p_value_ci","p_value_pi","p_value_truedelta","p_value_ci_residuals","p_value_pi_residuals","p_value_truedelta_residuals","p_value_z_score","p_val_sw_cor","p_value_lr_test","time","R"
20,50,0,0.5,1,1.0016902086086,1,1,1e-04,0.1,0.01,0,1,0.1,0.261577045908184,0.231636926147705,0.25748502994012,0.0420161676646707,0.0200600798403194,0.0199600798403194,0.538243170248354,0.538385126712344,0.543598582270263,6.73750256697337,500
20,50,0,0.5,2,1.01817280432911,1,1,1e-04,0.1,0.01,0,1,0.1,0.063972255489022,0.0559882235528942,0.0459081836327345,0.00409201596806387,0.00209600798403194,0.00199600798403194,0,9.65007688547465e-42,5.87395267655281e-42,6.73750256697337,500
20,50,0,0.5,3,1.01397698968051,1,1,1e-04,0.1,0.01,0,1,0.1,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.243516074658521,0.243795878233038,0.234840036361452,6.73750256697337,500
20,50,0,0.5,4,2.28422009321648,1,1,1e-04,0.1,0.01,0,1,0.1,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.0337361007037631,0.0339821692673545,0.0335808001262394,6.73750256697337,500
20,50,0,0.5,1,1.05574756127093,1,1,1e-04,0.1,0.01,0,1,0.1,0.0839323353293413,0.0739522954091816,0.0698602794411178,0.00608802395209581,0.00209600798403194,0.00199600798403194,0.645089041486553,0.645190293748964,0.641254737501861,6.73750256697337,500
20,50,0,0.5,2,0.957146962020247,1,1,1e-04,0.1,0.01,0,1,0.1,0.0360281437125749,0.0260481037924152,0.0259481037924152,0.00209600798403194,0.00209600798403194,0.00199600798403194,0,2.34064545723216e-43,1.87905947387766e-43,6.73750256697337,500
20,50,0,0.5,3,1.00418969953983,1,1,1e-04,0.1,0.01,0,1,0.1,0.0140720558882236,0.00808403193612774,0.0119760479041916,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.668729065524396,0.668822511423076,0.671922351312679,6.73750256697337,500
20,50,0,0.5,4,2.24515345670766,1,1,1e-04,0.1,0.01,0,1,0.1,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.00896949170721095,0.00910483812037386,0.00903677773175757,6.73750256697337,500
20,50,0,0.5,1,0.921722676394134,1,1,1e-04,0.1,0.01,0,1,0.1,0.836427345309381,0.748602994011976,0.776447105788423,0.0360281437125749,0.0120760479041916,0.0139720558882236,0.985779850354393,0.985783460551645,0.992550075018141,6.73750256697337,500
20,50,0,0.5,2,1.087723737908,1,1,1e-04,0.1,0.01,0,1,0.1,0.00608802395209581,0.00209600798403194,0.00199600798403194,0.0140720558882236,0.00608802395209581,0.00798403193612774,0,1.34739730795039e-38,9.79218708711961e-39,6.73750256697337,500
20,50,0,0.5,3,1.03345883904711,1,1,1e-04,0.1,0.01,0,1,0.1,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.228285690727456,0.228573548577759,0.229290338895465,6.73750256697337,500
20,50,0,0.5,4,2.26881249310297,1,1,1e-04,0.1,0.01,0,1,0.1,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.948525578332068,0.948538532820594,0.948422517288162,6.73750256697337,500
20,50,0,0.5,1,0.985539513696787,1,1,1e-04,0.1,0.01,0,1,0.1,0.606886427145709,0.57694630738523,0.554890219560878,0.0200600798403194,0.00608802395209581,0.00798403193612774,0.141689842277694,0.142009682724145,0.14382649867458,6.73750256697337,500
20,50,0,0.5,2,1.0370407387174,1,1,1e-04,0.1,0.01,0,1,0.1,0.231636926147705,0.231636926147705,0.213572854291417,0.375349500998004,0.231636926147705,0.235528942115768,0,1.40764318711536e-39,1.19460693623816e-39,6.73750256697337,500
20,50,0,0.5,3,1.06397411535981,1,1,1e-04,0.1,0.01,0,1,0.1,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.886374087192827,0.886403235860313,0.896594914467811,6.73750256697337,500
20,50,0,0.5,4,2.16265384873082,1,1,1e-04,0.1,0.01,0,1,0.1,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.426355908152233,0.426545759584707,0.427643242191067,6.73750256697337,500
20,50,0,0.5,1,0.927779142374567,1,1,1e-04,0.1,0.01,0,1,0.1,0.429241716566866,0.407285628742515,0.385229540918164,0.00409201596806387,0.00209600798403194,0.00199600798403194,0.198795482472548,0.199095914158362,0.194320696014524,6.73750256697337,500
20,50,0,0.5,2,1.12980984364784,1,1,1e-04,0.1,0.01,0,1,0.1,0.0400201596806387,0.0280441117764471,0.031936127744511,0.00209600798403194,0.00209600798403194,0.00199600798403194,0,1.44530223398252e-43,1.06294387609146e-43,6.73750256697337,500
20,50,0,0.5,3,1.0084717426996,1,1,1e-04,0.1,0.01,0,1,0.1,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.00608802395209581,0.00409201596806387,0.00399201596806387,0.811650983114734,0.811700543590997,0.816051728697752,6.73750256697337,500
20,50,0,0.5,4,2.29863420707225,1,1,1e-04,0.1,0.01,0,1,0.1,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.0487302489471271,0.0490067955066127,0.0484982442342365,6.73750256697337,500
20,50,0,0.5,1,0.960678498455503,1,1,1e-04,0.1,0.01,0,1,0.1,0.716666866267465,0.686726746506986,0.682634730538922,0.00808403193612774,0.00209600798403194,0.00199600798403194,0.230594516034417,0.230882805709957,0.233343442306352,6.73750256697337,500
20,50,0,0.5,2,0.970433867433933,1,1,1e-04,0.1,0.01,0,1,0.1,0.0360281437125749,0.0140720558882236,0.0159680638722555,0.00808403193612774,0.00209600798403194,0.00199600798403194,0,1.09154040566497e-38,1.33008405229381e-38,6.73750256697337,500
20,50,0,0.5,3,1.05165844986774,1,1,1e-04,0.1,0.01,0,1,0.1,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.00608802395209581,0.00409201596806387,0.00199600798403194,0.055827062447924,0.0561157373097234,0.0559824190678887,6.73750256697337,500
