"n","K","p_x","icc_x","beta_1","beta_2","beta_3","beta_4","bar_W","sigma_gamma_sq","icc_yx","p.val","sd.model","p.val.null","sd.model.null","sigma.gamma.sq.model","sd.ss","beta4.ss","power.ss","K_linear","time"
30,44,0.5,0.1,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.00405015064806509,0.260770612526046,0.282783833260046,0.252141437559408,0.0916701192192435,0.265089061458126,0.765748596361472,80.7652153743153,44,0.343195641040802
50,28,0.5,0.1,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.000239302024670899,0.267392978404934,0.494691261820564,0.258224066875996,0.0928017490995853,0.258461325610126,1.00977825035661,82.6859234576138,28,0.343195641040802
100,14,0.5,0.1,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.144605443313866,0.268636561737739,0.491280958277812,0.252272462324773,0.317243280309928,0.259778267686629,1.41359992039562,82.3066835171331,14,0.343195641040802
200,8,0.5,0.1,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,4.77099765475523e-05,0.253362023410323,0.831251791211943,0.224328411490624,0.176550334269804,0.243926999383354,2.12095484415463,86.7516397602985,8,0.343195641040802
30,46,0.5,0.25,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.0043662795664983,0.272187722977415,0.358639307296636,0.26170730081619,0.203167004228964,0.267422004573204,0.735907055990595,80.0831625317334,48,0.343195641040802
50,30,0.5,0.25,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.182165569259738,0.265640637701397,0.722375230837352,0.251802834165556,0.0710340001709896,0.260067104988269,0.963528774691769,82.2233289584527,30,0.343195641040802
100,16,0.5,0.25,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.00256218362050364,0.263797367667108,0.272629802404899,0.248370682009381,0.0423505822179657,0.256202855136912,1.35946565715727,83.3329420656042,16,0.343195641040802
200,8,0.5,0.25,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.00120221851008709,0.253673966763576,0.163115577118619,0.25720266617402,0.0814563754687145,0.259577108296817,1.87291638519649,82.364698454724,8,0.343195641040802
30,52,0.5,0.5,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.000357761250387999,0.276088333835912,0.182745223020521,0.27825617966593,0.148644645094765,0.26664625428356,0.696183163794665,80.3102296290235,56,0.343195641040802
50,34,0.5,0.5,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.0250831538146689,0.288492826511816,0.366039098963593,0.263805784450319,0.197610029547884,0.264481472441486,0.875117152182321,80.9424194927146,36,0.343195641040802
100,20,0.5,0.5,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.165981256882065,0.278061961580539,0.61959416666165,0.251617502100121,0.212719094497317,0.255209908812258,1.22542320546084,83.6159442587245,20,0.343195641040802
