"n","K","p_x","icc_x","beta_1","beta_2","beta_3","beta_4","bar_W","sigma_gamma_sq","icc_yx","p.val","sd.model","p.val.null","sd.model.null","sigma.gamma.sq.model","sd.ss","beta4.ss","power.ss","K_linear","time"
30,360,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0340593965696576,0.0903973030919142,0.720330134883161,0.0894082630546029,0.18293570626662,0.08921002305557,2.36383745140696,80.022218547895,360,3.42594480911891
50,218,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0997379860133633,0.0908583926280839,0.0356393227844237,0.0887471707017966,0.178607454059937,0.0892044977003447,3.03804646402014,80.0270744575297,220,3.42594480911891
100,112,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00346236031467386,0.0885743946289167,0.722912368728158,0.0877734051247525,0.163289131795005,0.0884676920944624,4.30940941241598,80.6735587694377,112,3.42594480911891
200,56,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,2.47073110077878e-06,0.0911055977298139,0.392179392763649,0.088099604741122,0.212153651881817,0.0887956685747399,6.0494875337972,80.3860557126437,56,3.42594480911891
30,390,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.003771442805002,0.0887956736070744,0.229711511927813,0.0876779849339915,0.146643214879946,0.0892161793346311,2.27078814226792,80.0168080287023,392,3.42594480911891
50,242,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0219054150770692,0.089288704855304,0.13813037293232,0.0897623293344413,0.163115672687089,0.0891582508820495,2.88645904633153,80.0677137864735,244,3.42594480911891
100,126,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0126821085292941,0.0896830706335009,0.50333154148336,0.0871540783508263,0.149273866776321,0.0890675221738953,4.00841011157528,80.1474189653236,128,3.42594480911891
200,66,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00658388372863771,0.0893500039563939,0.69403951522803,0.0886296724884893,0.121894021810208,0.0882270262117307,5.64444067383121,80.8842252874212,64,3.42594480911891
30,454,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,1.1185571676781e-05,0.0910124994200797,0.278009951881602,0.0865442942802498,0.17852886907181,0.0891497686562353,2.1077922106359,80.0751666959252,456,3.42594480911891
50,296,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00113926461327211,0.0934147628062064,0.389960036879549,0.0875529787717186,0.231804819927185,0.0891543096244034,2.61015095198435,80.0711768056772,300,3.42594480911891
