"n","K","p_x","icc_x","beta_1","beta_2","beta_3","beta_4","bar_W","sigma_gamma_sq","icc_yx","p.val","sd.model","p.val.null","sd.model.null","sigma.gamma.sq.model","sd.ss","beta4.ss","power.ss","K_linear","time"
30,96,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,8.83957638932121e-05,0.184486769941259,0.197503189036408,0.177269482189118,0.427144256327099,0.177620640215299,1.154712012963,80.3732017915391,96,1.10068785349528
50,58,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.332714088820048,0.182285405590024,0.379074978216781,0.178058389386713,0.37243930158037,0.177379482924933,1.48961966448325,80.4789605198296,58,1.10068785349528
100,30,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.000960826190425438,0.179997877916305,0.581523279668688,0.167267972610928,0.245484304622123,0.174766209437184,2.13363733317371,81.6206811817279,30,1.10068785349528
200,16,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.0162659149115884,0.181639346054987,0.488674252701722,0.167333826244371,0.242904761600753,0.169437199525695,3.10826932063439,83.915323446301,16,1.10068785349528
30,106,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.0067070670164174,0.180751133120193,0.695807981715639,0.175952587159253,0.378942120542087,0.177789144497244,1.09681340522382,80.2992700072539,108,1.10068785349528
50,66,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.000517290855276213,0.181291941930972,0.788004203483722,0.175769601601777,0.382909071051101,0.176549660818314,1.40958224201489,80.8424011485351,68,1.10068785349528
100,34,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.000578020457274774,0.17797073655538,0.523101493581264,0.175791590364397,0.33703378310797,0.175971153014629,1.97685012655408,81.0953035556395,34,1.10068785349528
200,18,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.00311914571903607,0.179956330872183,0.602689919946799,0.174404727736261,0.396049147856245,0.172255424378998,2.83539844218607,82.7083962056105,18,1.10068785349528
30,130,0.5,0.5,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.00275159989233589,0.189432116016009,0.551257158897673,0.183060489435297,0.450127238728112,0.177322397522296,0.995628448273412,80.5039863574411,136,1.10068785349528
50,84,0.5,0.5,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,2.47713794873943e-05,0.188110215730596,0.426381830822036,0.19246931747434,0.353453895026424,0.176753395619461,1.24658239166191,80.7532415083864,88,1.10068785349528
