"n","K","p_x","icc_x","beta_1","beta_2","beta_3","beta_4","bar_W","sigma_gamma_sq","icc_yx","p.val","sd.model","p.val.null","sd.model.null","sigma.gamma.sq.model","sd.ss","beta4.ss","power.ss","K_linear","time"
30,94,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,1.05022966466823e-05,0.180765627655578,0.263791572765535,0.173557303454281,0.128346832289193,0.177453998252132,1.1691242209562,80.4462884312705,94,0.732575349013011
50,58,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.000830457264166151,0.176578145057258,0.935311537914357,0.171391633193794,0.0632480569705337,0.175756017710144,1.51726611343209,81.1892475399781,56,0.732575349013011
100,30,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.00293003888530987,0.173730522268258,0.159831303580706,0.171346372005763,0.236329700715716,0.17370908667365,2.15968524713256,82.0798953845266,28,0.732575349013011
200,16,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.0053288845801507,0.176909899340603,0.873985260617122,0.174803180037702,0.101807360948758,0.168830369667638,3.1306536868812,84.172923957881,16,0.732575349013011
30,100,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.00191074325068586,0.182017498449948,0.59425236566978,0.174164527759609,0.231806969277314,0.178246756953875,1.12344777574139,80.0983527626751,102,0.732575349013011
50,62,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.000175172047063004,0.180233671856596,0.925120736596703,0.179543750100312,0.147105719399596,0.178007692847789,1.4306150031185,80.2033398962775,64,0.732575349013011
100,32,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.00313477458656483,0.175984801171953,0.883946159504112,0.17680944376759,0.131849755924868,0.178451711599885,1.98143457961329,80.0083034804333,32,0.732575349013011
200,18,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.0134567701927105,0.162239318388727,0.962060526737016,0.169049088505659,0.0500771620059651,0.170532382420668,2.89298506317711,83.4482804646416,16,0.732575349013011
30,114,0.5,0.5,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.0629980897562119,0.192763335047365,0.867118858981864,0.170703032939189,0.224194537836997,0.1783844860266,1.05058107746052,80.0378439930334,118,0.732575349013011
50,74,0.5,0.5,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.0581485873235026,0.18256452278358,0.23738654528578,0.182720697375668,0.160091676297641,0.178171294235149,1.30708801762853,80.1314986185882,78,0.732575349013011
100,42,0.5,0.5,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.00104396465855461,0.177985705150398,0.866877005193655,0.172892298325178,0.109060324762422,0.175621919321374,1.78572294619492,81.2477748295062,44,0.732575349013011
200,22,0.5,0.5,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.00995178604012138,0.185177775323394,0.624789449711612,0.177953127335977,0.131279668821324,0.178201316957875,2.3964203768233,80.1183122192917,24,0.732575349013011
30,176,0.5,1,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.0173476174448143,0.174556232320104,0.335567245466811,0.164376161960831,0.156356337289681,0.177753479684078,0.851537163227796,80.3149204007547,176,0.732575349013011
50,140,0.5,1,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,1.6727445857663e-06,0.167326525186938,0.632490775377703,0.170200714932066,0.140630281923705,0.178179992054486,0.9501983553801,80.1276785003294,140,0.732575349013011
100,114,0.5,1,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.00615593489979769,0.165534040017783,0.338688586016457,0.177033356253824,0.143484346449744,0.177891532717596,1.05641165260606,80.2543332215695,114,0.732575349013011
200,102,0.5,1,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.290557089237855,0.161791161655773,0.28677134832062,0.184868167355121,0.139778769678187,0.176818154282638,1.13042660718961,80.7248915228412,100,0.732575349013011
30,94,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.000125441804928517,0.181224578635138,0.773865114428538,0.178700901206574,0.186904093727334,0.177453998252132,1.1691242209562,80.4462884312705,94,0.732575349013011
50,58,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.0013483721624161,0.170719800342149,0.741149544424523,0.173057043187195,0.0920727773035923,0.175756017710144,1.51726611343209,81.1892475399781,56,0.732575349013011
100,30,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.412233837314835,0.170577694589437,0.280242919792261,0.167800180557585,0.0897922810130294,0.17370908667365,2.15968524713256,82.0798953845266,28,0.732575349013011
200,16,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.0288384291308452,0.173635186759804,0.585320382561309,0.170819142454972,0.0454225181681426,0.168830369667638,3.1306536868812,84.172923957881,16,0.732575349013011
30,100,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.00798637254860558,0.179157190860417,0.929168849145849,0.168596025039363,0.171217499193134,0.178246756953875,1.12344777574139,80.0983527626751,102,0.732575349013011
50,62,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.0149436592374838,0.183364620996093,0.202005100699357,0.176839255475486,0.211060872829622,0.178007692847789,1.4306150031185,80.2033398962775,64,0.732575349013011
100,32,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.00176303395585514,0.18076834134525,0.969537825204316,0.172173249889658,0.135979349061131,0.178451711599885,1.98143457961329,80.0083034804333,32,0.732575349013011
200,18,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.00202997273216685,0.169313139853799,0.507790705456002,0.165495895740636,0.185079680027615,0.170532382420668,2.89298506317711,83.4482804646416,16,0.732575349013011
30,114,0.5,0.5,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.00131301647365631,0.179573748585935,0.448261445890146,0.181281791873691,0.125097788177925,0.1783844860266,1.05058107746052,80.0378439930334,118,0.732575349013011
50,74,0.5,0.5,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.106255857788323,0.187767844364708,0.613977458775959,0.174989449099967,0.215538563839143,0.178171294235149,1.30708801762853,80.1314986185882,78,0.732575349013011
100,42,0.5,0.5,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.000269140480155273,0.184488410563523,0.599012986869797,0.176127831479081,0.196937148773401,0.175621919321374,1.78572294619492,81.2477748295062,44,0.732575349013011
200,22,0.5,0.5,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.00129663205419464,0.17917407934867,0.692709771367671,0.182541625822511,0.0876947058444933,0.178201316957875,2.3964203768233,80.1183122192917,24,0.732575349013011
30,176,0.5,1,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.0493472913903735,0.161204063398285,0.793718090336077,0.173019196586797,0.112196024400284,0.177753479684078,0.851537163227796,80.3149204007547,176,0.732575349013011
50,140,0.5,1,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.0432002347447358,0.18665558784697,0.65466373813104,0.160089105974605,0.196490849401119,0.178179992054486,0.9501983553801,80.1276785003294,140,0.732575349013011
100,114,0.5,1,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,1.13302930013497e-05,0.176646142677218,0.576081197172326,0.182614848598351,0.16652454082016,0.177891532717596,1.05641165260606,80.2543332215695,114,0.732575349013011
200,102,0.5,1,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.0158616120602773,0.195699526771111,0.285769339699554,0.158053872092188,0.215065721075362,0.176818154282638,1.13042660718961,80.7248915228412,100,0.732575349013011
30,94,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.00278312695841537,0.18174784871516,0.876660542278276,0.170562114131189,0.160839740244586,0.177453998252132,1.1691242209562,80.4462884312705,94,0.732575349013011
50,58,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.427600203740904,0.180968217119804,0.877541577539217,0.173431464841835,0.242950278246744,0.175756017710144,1.51726611343209,81.1892475399781,56,0.732575349013011
100,30,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.0910485638928994,0.175653586270148,0.723310527678731,0.171027483378523,0.0957768522631179,0.17370908667365,2.15968524713256,82.0798953845266,28,0.732575349013011
200,16,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.0197597250179788,0.16986911000212,0.0344793573848046,0.164633870014418,0.251921085240614,0.168830369667638,3.1306536868812,84.172923957881,16,0.732575349013011
30,100,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.0450885260134735,0.18807162394076,0.291764834983918,0.175215099857655,0.341041701201438,0.178246756953875,1.12344777574139,80.0983527626751,102,0.732575349013011
