"n","K","p_x","icc_x","beta_1","beta_2","beta_3","beta_4","bar_W","sigma_gamma_sq","icc_yx","p.val","sd.model","p.val.null","sd.model.null","sigma.gamma.sq.model","sd.ss","beta4.ss","power.ss","K_linear","time"
30,42,0.5,0.1,0.9,0.1,-0.1,0.75,0.5,0.0332309912494591,0.01,2.49845902855875e-06,0.273030381177562,0.282971867309612,0.251404341693063,0.103509628378266,0.266514008489188,0.775410066648644,80.3489131401461,42,0.242429451147715
50,26,0.5,0.1,0.9,0.1,-0.1,0.75,0.5,0.0332309912494591,0.01,9.98476935199055e-05,0.268369673025899,0.841820181346732,0.243849003153151,0.0452702993097341,0.263164693049562,1.01077442213836,81.3257714863296,26,0.242429451147715
100,14,0.5,0.1,0.9,0.1,-0.1,0.75,0.5,0.0332309912494591,0.01,0.000187000749620027,0.248851975308902,0.516615614344501,0.243815386226004,1.22152755805211e-14,0.255018834306504,1.46685650915311,83.6702939085692,12,0.242429451147715
200,8,0.5,0.1,0.9,0.1,-0.1,0.75,0.5,0.0332309912494591,0.01,6.98586513421413e-05,0.236571284889046,0.477093461225532,0.224114706817261,0,0.240200106080882,2.18728200244029,87.7470300318111,8,0.242429451147715
30,44,0.5,0.25,0.9,0.1,-0.1,0.75,0.5,0.0332309912494591,0.01,0.0798325862909299,0.268535593331506,0.599965402838861,0.250913768181057,0,0.26273281565364,0.779544989147623,81.4512846893436,44,0.242429451147715
50,26,0.5,0.25,0.9,0.1,-0.1,0.75,0.5,0.0332309912494591,0.01,0.00484165900113064,0.273081760120505,0.89515779669381,0.261154030692198,0.0430051422687198,0.266869811508001,0.982902842337173,80.2448190789382,28,0.242429451147715
100,14,0.5,0.25,0.9,0.1,-0.1,0.75,0.5,0.0332309912494591,0.01,0.00474359065558983,0.256499801702871,0.0168191998133067,0.246050365455761,0,0.26112896083179,1.39901401101651,81.9163716413083,14,0.242429451147715
200,8,0.5,0.25,0.9,0.1,-0.1,0.75,0.5,0.0332309912494591,0.01,0.0504267768527025,0.236583417850321,0.597460215901922,0.243480047357248,4e-14,0.249009631544221,2.03525522268827,85.3593147881832,8,0.242429451147715
30,44,0.5,0.5,0.9,0.1,-0.1,0.75,0.5,0.0332309912494591,0.01,0.000400442499315787,0.277605886228719,0.515321951919039,0.261012679803326,0.0693175648355946,0.266842123219207,0.755720232049616,80.2529215568412,44,0.242429451147715
50,28,0.5,0.5,0.9,0.1,-0.1,0.75,0.5,0.0332309912494591,0.01,0.00136208079880666,0.27753119786347,0.137107209093657,0.243836234885802,0.0333903651056102,0.263588097036834,0.970880006227063,81.2026135612155,28,0.242429451147715
100,16,0.5,0.5,0.9,0.1,-0.1,0.75,0.5,0.0332309912494591,0.01,0.00764820849546298,0.239560556338584,0.0426068379572905,0.25796894779705,1.83793067932127e-13,0.255100190939913,1.3712435697522,83.6471570333348,16,0.242429451147715
200,8,0.5,0.5,0.9,0.1,-0.1,0.75,0.5,0.0332309912494591,0.01,0.167178307030047,0.300194253056381,0.256566385391893,0.22354979989881,0.0279086886323047,0.266831170739341,1.77246654127206,80.2561265117305,8,0.242429451147715
