"n","K","p_x","icc_x","beta_1","beta_2","beta_3","beta_4","bar_W","sigma_gamma_sq","icc_yx","p.val","sd.model","p.val.null","sd.model.null","sigma.gamma.sq.model","sd.ss","beta4.ss","power.ss","K_linear","time"
30,370,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.0243696297084753,0.0906569108331951,0.124460447579411,0.0892533269332722,0.378287742419419,0.0890829326933054,2.33833262300501,80.133882955914,370,7.05020373264948
50,224,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.317612001323421,0.0912456609435979,0.781014668476168,0.0895206628607998,0.341779403534719,0.0888519920905194,3.02091019598782,80.3366378849378,224,7.05020373264948
100,112,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.0053468665180278,0.0898971281400322,0.861865487024625,0.0887876255638226,0.251442179110862,0.0890154185072512,4.25653957246225,80.1931782655577,112,7.05020373264948
200,56,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.0303648805184994,0.0908042309673448,0.633238778074731,0.0891673577855137,0.497184755160666,0.0891140032707399,6.0063445465337,80.1065890851352,56,7.05020373264948
30,414,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,1.10585401481032e-05,0.0909484903074715,0.76728837541082,0.0890360180029936,0.316816182063692,0.0891059781870715,2.20944048614966,80.1136390398788,416,7.05020373264948
50,254,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.156460917246473,0.0915819837714422,0.249311569097336,0.0900304910554558,0.378396688506247,0.0891687142956116,2.81678886339962,80.0585197480692,256,7.05020373264948
100,130,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.00067583563555893,0.0928444337260374,0.085201075988268,0.0903484520382448,0.358157695586722,0.0891724247951733,3.93698113795533,80.0552592952097,132,7.05020373264948
200,66,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.00582167670096537,0.0909212771387231,0.398315625398408,0.0892139771166613,0.299242914449676,0.0891290819282054,5.53076656459164,80.0933419996339,68,7.05020373264948
30,518,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.000898031799700472,0.0892890421728247,0.585331243117119,0.0901612675214877,0.317687677270634,0.0890662373335205,1.97699272680779,80.1485474800391,522,7.05020373264948
50,334,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.00184865486174327,0.0916949978426497,0.15292276964509,0.0890396238174287,0.368580431873871,0.0890664060837879,2.4620398178547,80.1483992618527,336,7.05020373264948
100,180,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.000411300042000757,0.0903806600232607,0.0286452589681343,0.089189042345268,0.284497861831827,0.0890541884632379,3.35468084936784,80.1591300733834,182,7.05020373264948
200,94,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.00726196219287997,0.091984144137888,0.989340594339566,0.0909218806369567,0.372515489713288,0.0892318319914651,4.62373161011288,80.0030509003176,96,7.05020373264948
30,1072,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.0108511495127214,0.0891389211018721,0.355379298447669,0.0906822813113439,0.352957185910884,0.0891969019701983,1.37024816453166,80.0337497205091,1072,7.05020373264948
50,938,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.0031182931840505,0.0870512043155179,0.682852256837661,0.0911929161070535,0.337272872692809,0.0891610814927969,1.46603415410358,80.0652266118938,936,7.05020373264948
