"n","K","p_x","icc_x","beta_1","beta_2","beta_3","beta_4","bar_W","sigma_gamma_sq","icc_yx","p.val","sd.model","p.val.null","sd.model.null","sigma.gamma.sq.model","sd.ss","beta4.ss","power.ss","K_linear","time"
30,344,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.300874352126539,0.0888954881263353,0.355747973099262,0.0870785019745193,0.0373237543180199,0.0892090408691255,2.41823889039651,80.0230817417069,344,1.70947294632594
50,208,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.000226708147169426,0.0892424096615988,0.599797867230456,0.0886388660957489,0.00306292930748034,0.0892124309109752,3.10966602224492,80.0201023915027,208,1.70947294632594
100,106,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.00616628708604249,0.0886246952729547,0.286643636167998,0.0875428142492221,0.0300795625266663,0.0889984246700427,4.37702060659927,80.2081006501518,106,1.70947294632594
200,54,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.0930396313155769,0.087889618823027,0.807395713404192,0.0883452293833036,0.0102434250865446,0.0889070167995308,6.14507526621276,80.2883474607027,54,1.70947294632594
30,354,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.00468619613231332,0.0887733716603397,0.0205325374423075,0.0875311223264651,0.0288323005131545,0.0890100351633499,2.39450962172212,80.1979055286241,352,1.70947294632594
50,216,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.288716127024685,0.0897054282004958,0.204188017671012,0.0871458492880325,0.034362664606329,0.0891957060410853,3.0526807776553,80.0348007055799,216,1.70947294632594
100,114,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.00574668050970258,0.0877448642433894,0.0212740534447203,0.0869897427202443,0.0300321363046838,0.0885286548523769,4.26555951947628,80.6201537758031,112,1.70947294632594
200,60,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.0606043291002794,0.0879768694305519,0.604593948349942,0.0884263416404297,0.0340103242211217,0.0883332668314613,5.90570776827122,80.7912603826614,60,1.70947294632594
30,368,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.000514034381978016,0.0910455990146521,0.90201433531702,0.088757957215626,0.0430548226974219,0.0891411705552928,2.34161552021013,80.0827211531373,368,1.70947294632594
50,232,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.000265842504870548,0.0868854334548085,0.401912647271561,0.0898143180845665,0.0160939624570865,0.0889398531383312,2.96250678914225,80.2595242039078,232,1.70947294632594
100,126,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.0884442716906742,0.0906248832558217,0.623005778173099,0.0821686554451521,0.0384477175096702,0.0891234784654211,4.00337832070656,80.0982649188867,128,1.70947294632594
200,72,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.000168552163055211,0.0900209954692274,0.345347782212983,0.0857612929741775,0.0348055967137812,0.0880886696980636,5.42112987300987,81.0052129442069,72,1.70947294632594
