"n","K","p_x","icc_x","beta_1","beta_2","beta_3","beta_4","bar_W","sigma_gamma_sq","icc_yx","p.val","sd.model","p.val.null","sd.model.null","sigma.gamma.sq.model","sd.ss","beta4.ss","power.ss","K_linear","time"
30,44,0.5,0.1,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,6.32456595300689e-06,0.266265890825026,0.388596207064573,0.250988305442253,0.240383681772773,0.265089061458126,0.765748596361472,80.7652153743153,44,0.358369115988413
50,28,0.5,0.1,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.000302501150894976,0.258052502730279,0.778328590942396,0.241816116171772,0.122521532111898,0.258461325610126,1.00977825035661,82.6859234576138,28,0.358369115988413
100,14,0.5,0.1,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.000616236363175667,0.276667459279301,0.364134242359651,0.244170098269375,0.152215531989381,0.259778267686629,1.41359992039562,82.3066835171331,14,0.358369115988413
200,8,0.5,0.1,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.000117214658385082,0.253073327643799,0.108108525103712,0.229320849941367,0.147610314200282,0.243926999383354,2.12095484415463,86.7516397602985,8,0.358369115988413
30,46,0.5,0.25,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.00206056399226063,0.282597985141213,0.370228923180303,0.262061956782535,0.19684478272963,0.267422004573204,0.735907055990595,80.0831625317334,48,0.358369115988413
50,30,0.5,0.25,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.00390832527025871,0.247552823854693,0.123686212459159,0.260080608129202,0.0507985768036242,0.260067104988269,0.963528774691769,82.2233289584527,30,0.358369115988413
100,16,0.5,0.25,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.119290176060825,0.256753372076191,0.0183841170026087,0.25207691145658,0.0780595352800435,0.256202855136912,1.35946565715727,83.3329420656042,16,0.358369115988413
200,8,0.5,0.25,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.215564070454055,0.273146014557561,0.730693884078272,0.246882630530498,0.0997903461488779,0.259577108296817,1.87291638519649,82.364698454724,8,0.358369115988413
30,52,0.5,0.5,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,1.49889128492965e-05,0.286994751225089,0.147087540783995,0.27025066974851,0.174316412958526,0.26664625428356,0.696183163794665,80.3102296290235,56,0.358369115988413
50,34,0.5,0.5,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,4.10821472281239e-05,0.266171324736515,0.107503967316187,0.240888881139291,0.0607741939813021,0.264481472441486,0.875117152182321,80.9424194927146,36,0.358369115988413
100,20,0.5,0.5,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.0093431072203853,0.250439844385852,0.382945400310558,0.258552488494085,0.117658455095327,0.255209908812258,1.22542320546084,83.6159442587245,20,0.358369115988413
200,10,0.5,0.5,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.00124346104812747,0.277388455885986,0.00177344918483037,0.245342646872223,0.167266034309668,0.264539224399026,1.61293182412897,80.9255843592636,12,0.358369115988413
30,80,0.5,1,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.0171437033003608,0.272601676850538,0.410904761771439,0.237439764683866,0.182798546170615,0.267096574911109,0.559389784867605,80.1784486155736,80,0.358369115988413
50,64,0.5,1,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.000416375352658924,0.297906963989635,0.993851750256029,0.279235174846533,0.237691946315273,0.26612127064074,0.630009355865246,80.4637477219811,64,0.358369115988413
100,52,0.5,1,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.0334610347558948,0.224574790672277,0.336140118238679,0.246875658161719,0.107333850387234,0.264991459123568,0.704905238189037,80.7936940624608,52,0.358369115988413
200,46,0.5,1,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.0029700323777946,0.307931242198216,0.660357146053488,0.268910085888979,0.240873374077673,0.264202653767569,0.753950608007078,81.0236721017028,44,0.358369115988413
30,44,0.5,0.1,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.0214989910823495,0.275169316862739,0.896530142836316,0.250130745489532,0.401715637323729,0.265089061458126,0.765748596361472,80.7652153743153,44,0.358369115988413
50,28,0.5,0.1,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.000153326943005861,0.262186017126132,0.0401594889494991,0.24791730394437,0.0559392534687255,0.258461325610126,1.00977825035661,82.6859234576138,28,0.358369115988413
100,14,0.5,0.1,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.000358343526063527,0.253630528017261,0.138630729883756,0.250428347897882,0.0558821324610945,0.259778267686629,1.41359992039562,82.3066835171331,14,0.358369115988413
200,8,0.5,0.1,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.0271649491206858,0.24503418106067,0.506974250569961,0.220741180780584,0.0569515110923779,0.243926999383354,2.12095484415463,86.7516397602985,8,0.358369115988413
30,46,0.5,0.25,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.00324271248688758,0.263915277935624,0.228416921876851,0.257538698916794,0.0176042926712795,0.267422004573204,0.735907055990595,80.0831625317334,48,0.358369115988413
50,30,0.5,0.25,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.00967635335686903,0.255879282664558,0.587853348962274,0.253586985142835,0.0437157469394671,0.260067104988269,0.963528774691769,82.2233289584527,30,0.358369115988413
100,16,0.5,0.25,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.201587797516888,0.255312700131029,0.626316279112271,0.24685785282475,0.104498660070015,0.256202855136912,1.35946565715727,83.3329420656042,16,0.358369115988413
