"n","K","p_x","icc_x","beta_1","beta_2","beta_3","beta_4","bar_W","sigma_gamma_sq","icc_yx","p.val","sd.model","p.val.null","sd.model.null","sigma.gamma.sq.model","sd.ss","beta4.ss","power.ss","K_linear","time"
30,44,0.5,0.1,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,9.79971811707111e-06,0.271301747973091,0.555636632399852,0.248643371911601,0.0213444316863819,0.265089061458126,0.765748596361472,80.7652153743153,44,0.341659601529439
50,28,0.5,0.1,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.0370536219517975,0.254267213415398,0.365101316706028,0.239562107129059,0.202098523262165,0.258461325610126,1.00977825035661,82.6859234576138,28,0.341659601529439
100,14,0.5,0.1,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.0503913135108192,0.260751968067043,0.661709911538915,0.250880004961088,0.123936888356469,0.259778267686629,1.41359992039562,82.3066835171331,14,0.341659601529439
200,8,0.5,0.1,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,2.66869946182398e-05,0.257226881605126,0.243027927506833,0.237066197099829,0.119683991056481,0.243926999383354,2.12095484415463,86.7516397602985,8,0.341659601529439
30,46,0.5,0.25,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,6.9861803164093e-05,0.265522630081767,0.265518417907608,0.263143522552495,0.160080431545157,0.267422004573204,0.735907055990595,80.0831625317334,48,0.341659601529439
50,30,0.5,0.25,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,1.07029622732694e-06,0.260120377689904,0.0984932243380093,0.264927611744755,0.0729409541663305,0.260067104988269,0.963528774691769,82.2233289584527,30,0.341659601529439
100,16,0.5,0.25,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,5.73222580764273e-05,0.263484540205148,0.0131283844244193,0.252005481994391,0.0924102741601227,0.256202855136912,1.35946565715727,83.3329420656042,16,0.341659601529439
200,8,0.5,0.25,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.00121184182853544,0.257961370823232,0.150961662754568,0.244099406525026,0.126805466877457,0.259577108296817,1.87291638519649,82.364698454724,8,0.341659601529439
30,52,0.5,0.5,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.0205971652485428,0.285159430102672,0.428106783153061,0.287838350497303,0.220385226429375,0.26664625428356,0.696183163794665,80.3102296290235,56,0.341659601529439
50,34,0.5,0.5,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.00740246933819423,0.270420251632716,0.994177147122204,0.256423407059057,0.128156781160257,0.264481472441486,0.875117152182321,80.9424194927146,36,0.341659601529439
100,20,0.5,0.5,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.0024423973280272,0.269147186396543,0.362079379580596,0.251227858294156,0.152028261039478,0.255209908812258,1.22542320546084,83.6159442587245,20,0.341659601529439
200,10,0.5,0.5,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.000551193337674062,0.258889464459719,0.345625410663507,0.283977793610276,0.059452030885306,0.264539224399026,1.61293182412897,80.9255843592636,12,0.341659601529439
30,80,0.5,1,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.000291370732932765,0.25767224192604,0.03750426074839,0.238745805666138,0.147157399635285,0.267096574911109,0.559389784867605,80.1784486155736,80,0.341659601529439
50,64,0.5,1,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,4.8757846862911e-07,0.223905708426592,0.662358992260663,0.261220001458045,0.0880597386859037,0.26612127064074,0.630009355865246,80.4637477219811,64,0.341659601529439
100,52,0.5,1,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.00116031953489225,0.291049982556713,0.679386765124411,0.264426409323588,0.213432974832731,0.264991459123568,0.704905238189037,80.7936940624608,52,0.341659601529439
200,46,0.5,1,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.00150813202759083,0.260798081073238,0.91760978200936,0.226258665620308,0.167724287396046,0.264202653767569,0.753950608007078,81.0236721017028,44,0.341659601529439
30,44,0.5,0.1,0.9,0.1,-0.1,0.75,0.5,0.173150954405076,0.05,0.00779770376057076,0.274084921752848,0.178486402192951,0.250495861825145,0.177628737569447,0.265089061458126,0.765748596361472,80.7652153743153,44,0.341659601529439
