"n","K","p_x","icc_x","beta_1","beta_2","beta_3","beta_4","bar_W","sigma_gamma_sq","icc_yx","p.val","sd.model","p.val.null","sd.model.null","sigma.gamma.sq.model","sd.ss","beta4.ss","power.ss","K_linear","time"
30,360,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,5.56022595929702e-06,0.0905035959777378,0.160613054843832,0.0882259417141397,0.232884474957726,0.08921002305557,2.36383745140696,80.022218547895,360,3.48737689654032
50,218,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,6.88066127837036e-05,0.0900024910492207,0.0724178597045217,0.0875141982957045,0.219160272497391,0.0892044977003447,3.03804646402014,80.0270744575297,220,3.48737689654032
100,112,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00049821556890434,0.0902278862167807,0.917348814290332,0.0881208655312844,0.248353637224804,0.0884676920944624,4.30940941241598,80.6735587694377,112,3.48737689654032
200,56,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0020857908014526,0.0883950676323368,0.656091515013143,0.0866076167693877,0.129430555697499,0.0887956685747399,6.0494875337972,80.3860557126437,56,3.48737689654032
30,390,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,3.61388473871463e-05,0.0889940422664719,0.809624677485674,0.0873588893399111,0.16447326498077,0.0892161793346311,2.27078814226792,80.0168080287023,392,3.48737689654032
50,242,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,2.02800543782821e-05,0.0892686474373686,0.58995537058257,0.08897916412103,0.157139788153741,0.0891582508820495,2.88645904633153,80.0677137864735,244,3.48737689654032
100,126,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.105228165714711,0.0892065351696148,0.927520369707908,0.0885816957092391,0.15819198745508,0.0890675221738953,4.00841011157528,80.1474189653236,128,3.48737689654032
200,66,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00302087275806055,0.0881233659922705,0.154621222421165,0.0895112274104936,0.163196435361027,0.0882270262117307,5.64444067383121,80.8842252874212,64,3.48737689654032
30,454,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00338388300673354,0.0886208264206765,0.736285768543907,0.0897633072520723,0.149511481182597,0.0891497686562353,2.1077922106359,80.0751666959252,456,3.48737689654032
50,296,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0192915122841403,0.0897307551661392,0.890256971969762,0.0876816179207429,0.163329373516168,0.0891543096244034,2.61015095198435,80.0711768056772,300,3.48737689654032
100,166,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00250601438318866,0.090124225842371,0.727698227698022,0.0895738633073212,0.171071507609307,0.0887129468245068,3.52020623105943,80.4586118869668,166,3.48737689654032
200,90,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0692941272712867,0.0906614134463973,0.45691569288052,0.087067086193518,0.233345651501064,0.0886531610271339,4.78725384959148,80.5110331138203,90,3.48737689654032
30,686,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.197168156458595,0.0879083975279476,0.753312855705189,0.0909118113586786,0.158317550623525,0.0891381345129792,1.71516941228779,80.0853886143312,684,3.48737689654032
50,550,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.000242066934816978,0.0947806508947148,0.890567702566723,0.0886497845582686,0.206153219411513,0.0892247209879511,1.91180864379953,80.0093008724534,550,3.48737689654032
100,450,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00173312497587791,0.0847018803828459,0.663582860789087,0.0942323894663793,0.150882019247179,0.0891253376489722,2.1183003085062,80.0966315468674,448,3.48737689654032
200,400,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00558376397356575,0.085467281236514,0.766435281791605,0.0853731929784791,0.158345958900387,0.0890569472686628,2.25024890373611,80.1567070461779,400,3.48737689654032
30,360,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0121406043066333,0.0893241346911801,0.998253091508868,0.089525650375445,0.164214903396058,0.08921002305557,2.36383745140696,80.022218547895,360,3.48737689654032
50,218,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00629745903571504,0.0905877362179453,0.0112915976619462,0.0873729843162078,0.189129744186676,0.0892044977003447,3.03804646402014,80.0270744575297,220,3.48737689654032
100,112,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,2.03590414663079e-05,0.0887374950118783,0.12826743252782,0.0871354223661543,0.166572429854061,0.0884676920944624,4.30940941241598,80.6735587694377,112,3.48737689654032
200,56,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00543804660054475,0.0898268819380631,0.970675929251748,0.0889066013147254,0.18880787784179,0.0887956685747399,6.0494875337972,80.3860557126437,56,3.48737689654032
30,390,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00561558045367062,0.0902487175813399,0.0255933597650485,0.0881266817110455,0.185706549854757,0.0892161793346311,2.27078814226792,80.0168080287023,392,3.48737689654032
50,242,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.488196819753447,0.0898177792889541,0.915455816343791,0.0877200690343632,0.176900053698516,0.0891582508820495,2.88645904633153,80.0677137864735,244,3.48737689654032
100,126,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00460103229381952,0.0906359956660173,0.0782593167519954,0.0877352579920239,0.182803028207521,0.0890675221738953,4.00841011157528,80.1474189653236,128,3.48737689654032
200,66,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0115409512502509,0.0887398254348604,0.761200414073851,0.0865630973884059,0.209192733628463,0.0882270262117307,5.64444067383121,80.8842252874212,64,3.48737689654032
30,454,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.000121645756583573,0.0905794284311563,0.223540572993627,0.0871702076521478,0.191814504277028,0.0891497686562353,2.1077922106359,80.0751666959252,456,3.48737689654032
50,296,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00588888562889667,0.0902420896315242,0.505210902725265,0.0884603777598582,0.188737332699503,0.0891543096244034,2.61015095198435,80.0711768056772,300,3.48737689654032
100,166,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00405775715089392,0.0891674987116287,0.814515114180779,0.0905461287839476,0.155342657199536,0.0887129468245068,3.52020623105943,80.4586118869668,166,3.48737689654032
200,90,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.000564606295553582,0.0897803723686239,0.403194484029012,0.0899686904945756,0.176258057174268,0.0886531610271339,4.78725384959148,80.5110331138203,90,3.48737689654032
30,686,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00129752420349054,0.0921629839674191,0.075868801846329,0.0903054888624136,0.190780534692773,0.0891381345129792,1.71516941228779,80.0853886143312,684,3.48737689654032
