"n","K","p_x","icc_x","beta_1","beta_2","beta_3","beta_4","bar_W","sigma_gamma_sq","icc_yx","p.val","sd.model","p.val.null","sd.model.null","sigma.gamma.sq.model","sd.ss","beta4.ss","power.ss","K_linear","time"
30,360,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0111912047457423,0.0885163212378043,0.105062735876847,0.0884382877716925,0.140800950150656,0.08921002305557,2.36383745140696,80.022218547895,360,4.70361193815867
50,218,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0233314925032252,0.090373442393496,0.62683564371727,0.0895533123526206,0.191399043323353,0.0892044977003447,3.03804646402014,80.0270744575297,220,4.70361193815867
100,112,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.116000576292919,0.0889552353567666,0.709183513272258,0.0873076329623284,0.18277085908685,0.0884676920944624,4.30940941241598,80.6735587694377,112,4.70361193815867
200,56,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0236348411085972,0.0886525157977491,0.432451895873309,0.0887524744615829,0.14018061406878,0.0887956685747399,6.0494875337972,80.3860557126437,56,4.70361193815867
30,390,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00633529770874963,0.0900308243725355,0.790044768468853,0.0886445618789085,0.151355399701397,0.0892161793346311,2.27078814226792,80.0168080287023,392,4.70361193815867
50,242,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.186577456581005,0.0898819047885283,0.456411880550049,0.0880468619841261,0.16199054052821,0.0891582508820495,2.88645904633153,80.0677137864735,244,4.70361193815867
100,126,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00406004539131764,0.090085697817369,0.554964534779185,0.0878076847078868,0.169214758008269,0.0890675221738953,4.00841011157528,80.1474189653236,128,4.70361193815867
200,66,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.000489689912632282,0.089389275546996,0.513784348996677,0.0872888373459257,0.140228017031213,0.0882270262117307,5.64444067383121,80.8842252874212,64,4.70361193815867
30,454,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.000528261363142331,0.0911441688633053,0.793571277218314,0.0885678847056788,0.180512166927955,0.0891497686562353,2.1077922106359,80.0751666959252,456,4.70361193815867
50,296,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,1.73792008246238e-05,0.0900610825380936,0.785155046657654,0.0880387079827804,0.167096473343751,0.0891543096244034,2.61015095198435,80.0711768056772,300,4.70361193815867
100,166,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00862707686768657,0.0886565404759183,0.748535759178506,0.0891945800179263,0.167105687916669,0.0887129468245068,3.52020623105943,80.4586118869668,166,4.70361193815867
200,90,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0687139772440489,0.0903809263524697,0.524106637349266,0.0857138517277372,0.182093038423483,0.0886531610271339,4.78725384959148,80.5110331138203,90,4.70361193815867
30,686,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00339903742862135,0.0886903687935917,0.740191695436572,0.0891547991997887,0.168566859768425,0.0891381345129792,1.71516941228779,80.0853886143312,684,4.70361193815867
50,550,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0766042864063462,0.0871800270884712,0.523493909490778,0.0878178186786581,0.159422579617161,0.0892247209879511,1.91180864379953,80.0093008724534,550,4.70361193815867
100,450,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00010081776542312,0.0904317866322513,0.542084045108312,0.0864355996760657,0.176347163388007,0.0891253376489722,2.1183003085062,80.0966315468674,448,4.70361193815867
200,400,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.000256405472578345,0.0910613129821647,0.304645631172271,0.0880270568611238,0.181956346928039,0.0890569472686628,2.25024890373611,80.1567070461779,400,4.70361193815867
30,360,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00969270589255237,0.089211378519518,0.660793018137936,0.0891102047248566,0.167512982097774,0.08921002305557,2.36383745140696,80.022218547895,360,4.70361193815867
50,218,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.000745413966596384,0.0903924399652415,0.229673655257158,0.0877625321357848,0.17070759553723,0.0892044977003447,3.03804646402014,80.0270744575297,220,4.70361193815867
100,112,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00230750897249607,0.0905056331726844,0.809873338317316,0.0884260000604549,0.215917849140508,0.0884676920944624,4.30940941241598,80.6735587694377,112,4.70361193815867
200,56,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0078661912861179,0.0920895568849866,0.497263380060029,0.0862807761063322,0.224042462740551,0.0887956685747399,6.0494875337972,80.3860557126437,56,4.70361193815867
30,390,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0265641942814881,0.0902627197622762,0.699084164914343,0.0876804529328981,0.194242103995182,0.0892161793346311,2.27078814226792,80.0168080287023,392,4.70361193815867
50,242,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,2.6176442142783e-05,0.0899423710285007,0.663022704166985,0.0888050380716986,0.173722655676594,0.0891582508820495,2.88645904633153,80.0677137864735,244,4.70361193815867
100,126,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00346383751959267,0.0907678171959987,0.420714185297224,0.088210105867189,0.196572405812609,0.0890675221738953,4.00841011157528,80.1474189653236,128,4.70361193815867
