"n","K","p_x","icc_x","beta_1","beta_2","beta_3","beta_4","bar_W","sigma_gamma_sq","icc_yx","p.val","sd.model","p.val.null","sd.model.null","sigma.gamma.sq.model","sd.ss","beta4.ss","power.ss","K_linear","time"
30,370,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,2.20202919483328e-05,0.0904346561490669,0.762750790648754,0.0907736353993718,0.369170955686902,0.0890829326933054,2.33833262300501,80.133882955914,370,7.04446067412694
50,224,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.0374248653255457,0.0892441884123468,0.0333803106309655,0.0899587896215696,0.35249158328173,0.0888519920905194,3.02091019598782,80.3366378849378,224,7.04446067412694
100,112,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.0269703786453423,0.0916997331562671,0.472407639198462,0.0908498397012169,0.392799701618039,0.0890154185072512,4.25653957246225,80.1931782655577,112,7.04446067412694
200,56,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.0343514216002497,0.0904036920188637,0.897373739422835,0.0906388801094067,0.478565314939496,0.0891140032707399,6.0063445465337,80.1065890851352,56,7.04446067412694
30,414,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.0106789098907555,0.09192176191452,0.775770898290304,0.089201141884982,0.354014438889597,0.0891059781870715,2.20944048614966,80.1136390398788,416,7.04446067412694
50,254,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.863676783040413,0.0896463412072842,0.0187220164046991,0.090465318244498,0.342695768587728,0.0891687142956116,2.81678886339962,80.0585197480692,256,7.04446067412694
100,130,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.0532964068945325,0.0912311615002951,0.222777327521893,0.0892897364296634,0.362673846001288,0.0891724247951733,3.93698113795533,80.0552592952097,132,7.04446067412694
200,66,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,2.49314471055192e-05,0.0923157010367595,0.881859505285196,0.0876858176499071,0.363313453844549,0.0891290819282054,5.53076656459164,80.0933419996339,68,7.04446067412694
30,518,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.00147999615160828,0.0896687213024664,0.693107347083245,0.0903434615571619,0.335787836958899,0.0890662373335205,1.97699272680779,80.1485474800391,522,7.04446067412694
50,334,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.0148858047148915,0.0894435869322677,0.498789319824747,0.0878189568129881,0.319279536769878,0.0890664060837879,2.4620398178547,80.1483992618527,336,7.04446067412694
100,180,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.7128453373981,0.0907965573764133,0.639223653695568,0.0882223908404336,0.344173776643534,0.0890541884632379,3.35468084936784,80.1591300733834,182,7.04446067412694
200,94,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,4.18427750118269e-06,0.0917021350248314,0.710168665387796,0.0871270245467068,0.301642973559,0.0892318319914651,4.62373161011288,80.0030509003176,96,7.04446067412694
30,1072,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.0872395870267263,0.0914909311787757,0.0430232704842632,0.0886677162326772,0.382649971088999,0.0891969019701983,1.37024816453166,80.0337497205091,1072,7.04446067412694
50,938,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.0963915535550857,0.0884334326170648,0.630583345497704,0.092343548807339,0.354361965268411,0.0891610814927969,1.46603415410358,80.0652266118938,936,7.04446067412694
100,836,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.000762742061193726,0.087371114304814,0.0360470126440756,0.0875770514894873,0.353125566204272,0.0892066026022659,1.55131154470255,80.0252245958683,836,7.04446067412694
200,786,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.000918501012661597,0.0885170489660015,0.0399018087755497,0.0862474705077357,0.384266034860181,0.0891770056464521,1.60095497601005,80.0512339873665,784,7.04446067412694
30,370,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.00256150442908395,0.0898940745180098,0.128351787273684,0.0911365547496039,0.345440168018286,0.0890829326933054,2.33833262300501,80.133882955914,370,7.04446067412694
50,224,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.000875218420921609,0.0880162138623334,0.449005992713363,0.0895432097741268,0.326746235277318,0.0888519920905194,3.02091019598782,80.3366378849378,224,7.04446067412694
