"n","K","p_x","icc_x","beta_1","beta_2","beta_3","beta_4","bar_W","sigma_gamma_sq","icc_yx","p.val","sd.model","p.val.null","sd.model.null","sigma.gamma.sq.model","sd.ss","beta4.ss","power.ss","K_linear","time"
30,94,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.0122588020965279,0.18242003231229,0.734647036055228,0.181787489656947,0.202937802979009,0.177453998252132,1.1691242209562,80.4462884312705,94,0.719478841622671
50,58,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.025981369280658,0.185086703434884,0.760491047399794,0.170522764108118,0.197589233841891,0.175756017710144,1.51726611343209,81.1892475399781,56,0.719478841622671
100,30,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.00229922290737569,0.179407414065251,0.186094483050096,0.171766281265564,0.116279387404694,0.17370908667365,2.15968524713256,82.0798953845266,28,0.719478841622671
200,16,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.0341146418082627,0.171759147870885,0.0119779575410259,0.164605016635985,0.105405401829246,0.168830369667638,3.1306536868812,84.172923957881,16,0.719478841622671
30,100,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.0216056065432918,0.180706670015097,0.112121468069086,0.168403196557234,0.163881191000033,0.178246756953875,1.12344777574139,80.0983527626751,102,0.719478841622671
50,62,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.000862897470160333,0.183041418083332,0.609058384059783,0.178237078127281,0.174054169417832,0.178007692847789,1.4306150031185,80.2033398962775,64,0.719478841622671
100,32,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.000917307162565658,0.177453036599774,0.7105473202767,0.183265261167374,0.0831477038574956,0.178451711599885,1.98143457961329,80.0083034804333,32,0.719478841622671
200,18,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.00374869223461596,0.171850511392578,0.360135062230246,0.163407201201058,0.0863549933510496,0.170532382420668,2.89298506317711,83.4482804646416,16,0.719478841622671
30,114,0.5,0.5,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,9.25937561906558e-05,0.16940925631583,0.227757384648349,0.173273358707426,0.0256411086230994,0.1783844860266,1.05058107746052,80.0378439930334,118,0.719478841622671
50,74,0.5,0.5,0.9,0.1,-0.1,0.5,0.5,0.173150954405076,0.05,0.00779910438370142,0.182054083052175,0.804853823155123,0.170841555069932,0.15667900567649,0.178171294235149,1.30708801762853,80.1314986185882,78,0.719478841622671
