"n","K","p_x","icc_x","beta_1","beta_2","beta_3","beta_4","bar_W","sigma_gamma_sq","icc_yx","p.val","sd.model","p.val.null","sd.model.null","sigma.gamma.sq.model","sd.ss","beta4.ss","power.ss","K_linear","time"
30,370,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.0101068604922593,0.0902584500927563,0.995849286732122,0.0883026629480545,0.350294039346586,0.0890829326933054,2.33833262300501,80.133882955914,370,6.80324970086416
50,224,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.0489516552404676,0.090256077339155,0.886452469493012,0.0895226922694951,0.432928362785933,0.0888519920905194,3.02091019598782,80.3366378849378,224,6.80324970086416
100,112,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.000745942917582788,0.0905327442984598,0.0894666314398038,0.0882876585689575,0.399353207940938,0.0890154185072512,4.25653957246225,80.1931782655577,112,6.80324970086416
200,56,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.000218896345122636,0.0898228456408819,0.352719483097464,0.0903777098159043,0.412534228446887,0.0891140032707399,6.0063445465337,80.1065890851352,56,6.80324970086416
30,414,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.000227916013919297,0.0914311796905633,0.229387424251947,0.0901633233446065,0.412186420605338,0.0891059781870715,2.20944048614966,80.1136390398788,416,6.80324970086416
50,254,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.00489611438649076,0.0915514464183023,0.935777922675351,0.0898971126956978,0.368959433679068,0.0891687142956116,2.81678886339962,80.0585197480692,256,6.80324970086416
100,130,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.0237110691587032,0.0921892046873998,0.916228079447973,0.0897993679874712,0.337806123837791,0.0891724247951733,3.93698113795533,80.0552592952097,132,6.80324970086416
200,66,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.00512862041570587,0.0914559772348833,0.638489165943553,0.086429024817372,0.280286917239003,0.0891290819282054,5.53076656459164,80.0933419996339,68,6.80324970086416
30,518,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.0083864821161977,0.093089440736313,0.955186030316467,0.0913148841622394,0.461364602196311,0.0890662373335205,1.97699272680779,80.1485474800391,522,6.80324970086416
50,334,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.00531522030540909,0.0875884104406434,0.495104957782677,0.0893244901250615,0.278896648979673,0.0890664060837879,2.4620398178547,80.1483992618527,336,6.80324970086416
100,180,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.0023359472345017,0.0933573435507239,0.103887949279801,0.0893492487936443,0.505693984402871,0.0890541884632379,3.35468084936784,80.1591300733834,182,6.80324970086416
200,94,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.0273008706469098,0.0926390401739369,0.77717215013666,0.0894409927783544,0.402247885447188,0.0892318319914651,4.62373161011288,80.0030509003176,96,6.80324970086416
30,1072,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.36554090374405,0.1,0.251972000403394,0.0910388451037392,0.0753354321008789,0.0898789463417902,0.377779953247997,0.0891969019701983,1.37024816453166,80.0337497205091,1072,6.80324970086416
