"n","K","p_x","icc_x","beta_1","beta_2","beta_3","beta_4","bar_W","sigma_gamma_sq","icc_yx","p.val","sd.model","p.val.null","sd.model.null","sigma.gamma.sq.model","sd.ss","beta4.ss","power.ss","K_linear","time"
30,96,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.0366061137260443,0.178938430849659,0.31854886526536,0.178602403982966,0.352029854720053,0.177620640215299,1.154712012963,80.3732017915391,96,1.15064709981283
50,58,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.0441401784018931,0.190250270358611,0.571378034292633,0.180115249570823,0.376526036388385,0.177379482924933,1.48961966448325,80.4789605198296,58,1.15064709981283
100,30,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,1.75187530332996e-05,0.178931010933413,0.572890647215513,0.167987947225388,0.438648993541219,0.174766209437184,2.13363733317371,81.6206811817279,30,1.15064709981283
200,16,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,1.51886311931553e-05,0.167838155878476,0.353531176899926,0.164964241203279,0.282194565113824,0.169437199525695,3.10826932063439,83.915323446301,16,1.15064709981283
30,106,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.000563572877912631,0.182866483023392,0.358851147636416,0.182966844055098,0.285222971705811,0.177789144497244,1.09681340522382,80.2992700072539,108,1.15064709981283
50,66,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.00209932216784041,0.178813036568826,0.701275932138713,0.170169935361788,0.326047611705284,0.176549660818314,1.40958224201489,80.8424011485351,68,1.15064709981283
100,34,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.396543198949968,0.174290422122953,0.606131534603304,0.169495274956701,0.242915901745549,0.175971153014629,1.97685012655408,81.0953035556395,34,1.15064709981283
200,18,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.00037861501413732,0.183799459672939,0.609232143579752,0.173711199545947,0.245483966796429,0.172255424378998,2.83539844218607,82.7083962056105,18,1.15064709981283
30,130,0.5,0.5,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,1.80163406535537e-07,0.179248885285122,0.415389401488888,0.175503488660765,0.249530393613647,0.177322397522296,0.995628448273412,80.5039863574411,136,1.15064709981283
50,84,0.5,0.5,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,3.30573183507784e-05,0.184638299053753,0.290700532229595,0.175906950950366,0.291305857337901,0.176753395619461,1.24658239166191,80.7532415083864,88,1.15064709981283
100,46,0.5,0.5,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.00260664594880616,0.176703060809096,0.337373922278613,0.168534731743473,0.275550990709019,0.175018762424993,1.71809838543613,81.5107272877186,48,1.15064709981283
200,24,0.5,0.5,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.00516101082918769,0.184192319599831,0.299209221300632,0.178988956967951,0.341015139388452,0.175306409654959,2.37080017828082,81.3853858943165,24,1.15064709981283
30,272,0.5,1,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.000717637769649893,0.169853506581292,0.00315940571630412,0.15020840896733,0.303737109054863,0.178218181596529,0.681408731706186,80.110904670507,272,1.15064709981283
50,238,0.5,1,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.000260570184547238,0.186665047214942,0.779765852416518,0.179416225054137,0.399125194131711,0.177789585399565,0.731972979982818,80.2990765231779,236,1.15064709981283
100,210,0.5,1,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.0751866948088928,0.18873528786477,0.316597138167545,0.177072815601561,0.408480744059399,0.178429851421754,0.77366239463469,80.0179098017757,210,1.15064709981283
200,198,0.5,1,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.00397089297757626,0.161662117416139,0.354706745100324,0.168755572997538,0.300288529105523,0.177912055183772,0.801406414990584,80.2453249708513,196,1.15064709981283
30,96,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.00157348505048846,0.17487266142373,0.364188423955775,0.179003422688212,0.227157270360284,0.177620640215299,1.154712012963,80.3732017915391,96,1.15064709981283
50,58,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.0163272027817319,0.177985899689293,0.972834270974624,0.176868821878613,0.308373151024525,0.177379482924933,1.48961966448325,80.4789605198296,58,1.15064709981283
100,30,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.000358950929929703,0.17705923852221,0.90821589528273,0.169654392684998,0.286444469671076,0.174766209437184,2.13363733317371,81.6206811817279,30,1.15064709981283
200,16,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.298433680313177,0.176039866956569,0.0523513286152445,0.177941025350259,0.270836634627836,0.169437199525695,3.10826932063439,83.915323446301,16,1.15064709981283
30,106,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.00593347614523621,0.18260323549241,0.602421719860409,0.179299988042328,0.333162237535551,0.177789144497244,1.09681340522382,80.2992700072539,108,1.15064709981283
50,66,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.11041438407524,0.186334672095548,0.564683561122394,0.172930200604507,0.465658661417576,0.176549660818314,1.40958224201489,80.8424011485351,68,1.15064709981283
100,34,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.00380912093180101,0.178552138762371,0.453940192750137,0.177622401380103,0.411459436386253,0.175971153014629,1.97685012655408,81.0953035556395,34,1.15064709981283
200,18,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.000746355234487592,0.180196459479073,0.774625473385257,0.170699078907176,0.179674489128115,0.172255424378998,2.83539844218607,82.7083962056105,18,1.15064709981283
30,130,0.5,0.5,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.117185688969372,0.180496634917093,0.509603622417913,0.182604961588006,0.304708496521263,0.177322397522296,0.995628448273412,80.5039863574411,136,1.15064709981283
50,84,0.5,0.5,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.000583882289722153,0.184328818583475,0.297829676924366,0.181856248682856,0.353008106893128,0.176753395619461,1.24658239166191,80.7532415083864,88,1.15064709981283
100,46,0.5,0.5,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.127795765179485,0.189613373169806,0.811090310351897,0.179568134429556,0.54800674703963,0.175018762424993,1.71809838543613,81.5107272877186,48,1.15064709981283
200,24,0.5,0.5,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,9.24280515849672e-06,0.179615757792791,0.22188108985014,0.188752477350646,0.324907215032653,0.175306409654959,2.37080017828082,81.3853858943165,24,1.15064709981283
30,272,0.5,1,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.00289749311318548,0.176207690724979,0.0482737545703967,0.175804198126901,0.34342573017624,0.178218181596529,0.681408731706186,80.110904670507,272,1.15064709981283
50,238,0.5,1,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.00682869947582136,0.169502779393283,0.709550930480892,0.183560016329041,0.315072189216772,0.177789585399565,0.731972979982818,80.2990765231779,236,1.15064709981283
100,210,0.5,1,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.0522876753245226,0.175817914315116,0.231462180246404,0.183411838360012,0.350599136151286,0.178429851421754,0.77366239463469,80.0179098017757,210,1.15064709981283
200,198,0.5,1,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,6.60652507609105e-06,0.181025577422185,0.488400727890133,0.171772341897944,0.374559968777715,0.177912055183772,0.801406414990584,80.2453249708513,196,1.15064709981283
30,96,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.0094706288899374,0.176972111616801,0.873066331511406,0.172940830271482,0.290848524665167,0.177620640215299,1.154712012963,80.3732017915391,96,1.15064709981283
50,58,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.00160717401806252,0.18177392338694,0.957922579128945,0.17671483145214,0.347545508605851,0.177379482924933,1.48961966448325,80.4789605198296,58,1.15064709981283
100,30,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,8.75769678263527e-05,0.179597169996858,0.423737585814441,0.166427705486239,0.438229004458368,0.174766209437184,2.13363733317371,81.6206811817279,30,1.15064709981283
200,16,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.059992583974824,0.172729127182764,0.421233877218377,0.166864669039034,0.320499088544964,0.169437199525695,3.10826932063439,83.915323446301,16,1.15064709981283
30,106,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.000859769746610503,0.186138684039746,0.891162409545567,0.180220883001782,0.373700584304571,0.177789144497244,1.09681340522382,80.2992700072539,108,1.15064709981283
50,66,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.00116935711945711,0.181855781518659,0.942227212055642,0.175232451399881,0.396488034259429,0.176549660818314,1.40958224201489,80.8424011485351,68,1.15064709981283
100,34,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.00802366117503993,0.182047843189987,0.418085963165207,0.183355391134878,0.387959072376545,0.175971153014629,1.97685012655408,81.0953035556395,34,1.15064709981283
200,18,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.0228512970893545,0.183441902673995,0.564994214475234,0.167495064118976,0.356725175043632,0.172255424378998,2.83539844218607,82.7083962056105,18,1.15064709981283
30,130,0.5,0.5,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.0953085645415331,0.186056600536986,0.813706688143544,0.174707368514516,0.416005661424159,0.177322397522296,0.995628448273412,80.5039863574411,136,1.15064709981283
50,84,0.5,0.5,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,8.60749405831681e-05,0.183973433295789,0.906679513361036,0.183881197726534,0.284663422136917,0.176753395619461,1.24658239166191,80.7532415083864,88,1.15064709981283
100,46,0.5,0.5,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.0358599130274657,0.181842528844272,0.0411760036054085,0.17404155932668,0.324286652326242,0.175018762424993,1.71809838543613,81.5107272877186,48,1.15064709981283
200,24,0.5,0.5,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.205699243179397,0.193053445160227,0.399431691255214,0.181534685761827,0.347782468030229,0.175306409654959,2.37080017828082,81.3853858943165,24,1.15064709981283
30,272,0.5,1,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.0184792619526065,0.172032724624003,0.861999092476555,0.187999274405373,0.319736015283029,0.178218181596529,0.681408731706186,80.110904670507,272,1.15064709981283
50,238,0.5,1,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.0283988132236093,0.163189133876351,0.999063120573431,0.166731154051074,0.288228544699,0.177789585399565,0.731972979982818,80.2990765231779,236,1.15064709981283
100,210,0.5,1,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.163408857889797,0.177615698944946,0.166433551455075,0.172383318846761,0.357618110721152,0.178429851421754,0.77366239463469,80.0179098017757,210,1.15064709981283
200,198,0.5,1,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.00260602604364266,0.168936924421982,0.357705833670314,0.182421913595392,0.323957242521283,0.177912055183772,0.801406414990584,80.2453249708513,196,1.15064709981283
30,96,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.165992810404765,0.178571919887243,0.550765766641548,0.178821209885138,0.378148634089943,0.177620640215299,1.154712012963,80.3732017915391,96,1.15064709981283
50,58,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.0324022275805186,0.178032586606591,0.0889067942886797,0.177440570895519,0.243596691982616,0.177379482924933,1.48961966448325,80.4789605198296,58,1.15064709981283
100,30,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,9.36238706463671e-05,0.180816712800802,0.0406478106937399,0.172249218880827,0.304344516947384,0.174766209437184,2.13363733317371,81.6206811817279,30,1.15064709981283
200,16,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.0147456822551327,0.167177520775944,0.0775309557672072,0.165909539650093,0.336970213427567,0.169437199525695,3.10826932063439,83.915323446301,16,1.15064709981283
30,106,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.132320407370853,0.180138480363652,0.697274941113572,0.177655600511835,0.294726910070298,0.177789144497244,1.09681340522382,80.2992700072539,108,1.15064709981283
50,66,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.0335689611271295,0.182788408996674,0.773055794043344,0.178668771260713,0.40412723694598,0.176549660818314,1.40958224201489,80.8424011485351,68,1.15064709981283
100,34,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.000134382339659621,0.180056075280754,0.0489093092568575,0.178573114227531,0.28874863618553,0.175971153014629,1.97685012655408,81.0953035556395,34,1.15064709981283
200,18,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.003736055002757,0.168972201307311,0.247277732469653,0.181115922558011,0.123580950457871,0.172255424378998,2.83539844218607,82.7083962056105,18,1.15064709981283
30,130,0.5,0.5,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.00257520688259111,0.184211409760337,0.0326795094896323,0.181871256812523,0.41944599469765,0.177322397522296,0.995628448273412,80.5039863574411,136,1.15064709981283
50,84,0.5,0.5,0.9,0.1,-0.1,0.5,0.5,0.36554090374405,0.1,0.00163501935527195,0.172925441665141,0.811059738461622,0.180016285934824,0.203770998713515,0.176753395619461,1.24658239166191,80.7532415083864,88,1.15064709981283
