"n","K","p_x","icc_x","beta_1","beta_2","beta_3","beta_4","bar_W","sigma_gamma_sq","icc_yx","p.val","sd.model","p.val.null","sd.model.null","sigma.gamma.sq.model","sd.ss","beta4.ss","power.ss","K_linear","time"
30,90,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.0332309912494591,0.01,0.00856718865677427,0.172367333214068,0.593707868906496,0.172118809437628,2.16980787493604e-13,0.17770349074859,1.19146966585874,80.3368543794987,90,0.437739419937134
50,54,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.0332309912494591,0.01,0.0743941126628799,0.179147169662843,0.51615008131359,0.169967656804992,0.0200127535898023,0.178314731008663,1.52765342207712,80.0684917359465,56,0.437739419937134
100,28,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.0332309912494591,0.01,0.00114111834433306,0.176221098303543,0.274847931154297,0.175811242408035,0.0236842783996216,0.176222144713398,2.17218185712752,80.9856289026166,28,0.437739419937134
200,14,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.0332309912494591,0.01,0.00168086843398594,0.167621814007612,0.543227323892139,0.170398515157026,1.00737240075617e-13,0.177575764870579,3.02527429220825,80.3928862103231,14,0.437739419937134
30,92,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.0332309912494591,0.01,0.0431772299519073,0.178908344736781,0.979406492832638,0.173695776020383,0.0358048541366316,0.177607452486694,1.17972254488864,80.3789867547304,92,0.437739419937134
50,56,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.0332309912494591,0.01,0.00162341329441147,0.183041971898488,0.644996931541791,0.176632920099739,0.0551722954377747,0.177964927151815,1.50602890358725,80.2221151785799,56,0.437739419937134
100,30,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.0332309912494591,0.01,0.0339867709803513,0.179653054752647,0.756836415901264,0.177082990915776,0.0414060774439306,0.174949243914494,2.12917518293386,81.5410025397348,30,0.437739419937134
200,16,0.5,0.25,0.9,0.1,-0.1,0.5,0.5,0.0332309912494591,0.01,0.0191062327082716,0.1750364010971,0.427949169690432,0.17684980229669,0.0171088759730123,0.173057109632323,2.97959529286546,82.3622314605649,16,0.437739419937134
30,96,0.5,0.5,0.9,0.1,-0.1,0.5,0.5,0.0332309912494591,0.01,0.000839639571168073,0.185545009687981,0.221862300937854,0.180233559495968,0.0221266253079395,0.17703037181531,1.16242511112223,80.6319543299937,96,0.437739419937134
50,60,0.5,0.5,0.9,0.1,-0.1,0.5,0.5,0.0332309912494591,0.01,3.26865207228041e-05,0.183434904024829,0.864670638678522,0.162195046096429,0.0488450732762208,0.176904081476202,1.47246449515442,80.6872671312789,60,0.437739419937134
100,32,0.5,0.5,0.9,0.1,-0.1,0.5,0.5,0.0332309912494591,0.01,0.119657834050215,0.180035934496433,0.402279930078884,0.177756349088732,0.022340081033196,0.178020416039627,1.99104717539993,80.197753740289,32,0.437739419937134
200,18,0.5,0.5,0.9,0.1,-0.1,0.5,0.5,0.0332309912494591,0.01,3.95825458712807e-10,0.151181603620876,0.138755681604606,0.180490101010062,0,0.176427865743494,2.70287243516335,80.8956788445751,20,0.437739419937134
30,106,0.5,1,0.9,0.1,-0.1,0.5,0.5,0.0332309912494591,0.01,0.000161493110117859,0.176829015097326,0.674813213025466,0.182179483532657,0.0350693184278036,0.177036114760188,1.1061639231105,80.6294386115654,104,0.437739419937134
50,70,0.5,1,0.9,0.1,-0.1,0.5,0.5,0.0332309912494591,0.01,0.0527435338612684,0.181485206847875,0.96081530342248,0.180878996548701,0.039229537305008,0.177523275299135,1.35374398093215,80.4159079995221,70,0.437739419937134
100,44,0.5,1,0.9,0.1,-0.1,0.5,0.5,0.0332309912494591,0.01,0.0503486722668232,0.179842969527812,0.862555028828396,0.132541956722775,0.0348549935336577,0.176381295039282,1.72967604402173,80.9160459825586,44,0.437739419937134
200,30,0.5,1,0.9,0.1,-0.1,0.5,0.5,0.0332309912494591,0.01,0.000509631132963037,0.177049161331621,0.356681926026648,0.215650312663245,0.0326535047843581,0.17797714059862,2.05734480940032,80.2167533268531,30,0.437739419937134
30,90,0.5,0.1,0.9,0.1,-0.1,0.5,0.5,0.0332309912494591,0.01,0.00292842847628559,0.177043569157151,0.641018000462,0.170299464482937,0.0248849156609059,0.17770349074859,1.19146966585874,80.3368543794987,90,0.437739419937134
