"n","K","p_x","icc_x","beta_1","beta_2","beta_3","beta_4","bar_W","sigma_gamma_sq","icc_yx","p.val","sd.model","p.val.null","sd.model.null","sigma.gamma.sq.model","sd.ss","beta4.ss","power.ss","K_linear","time"
30,344,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.00283733881136996,0.0891030503068118,0.904372688098169,0.0871419677390066,0.0343853333687666,0.0892090408691255,2.41823889039651,80.0230817417069,344,1.74837866624196
50,208,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.174867421500887,0.0895475020853063,0.534651863226822,0.0882155774850217,0.0287241531734495,0.0892124309109752,3.10966602224492,80.0201023915027,208,1.74837866624196
100,106,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,5.9429017099183e-05,0.0890737245658712,0.0526192997479166,0.0879206832402707,0.0309548577175464,0.0889984246700427,4.37702060659927,80.2081006501518,106,1.74837866624196
200,54,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.00492165049305245,0.0883457043044547,0.0268862162659553,0.0873685100464825,0.0189248010914007,0.0889070167995308,6.14507526621276,80.2883474607027,54,1.74837866624196
30,354,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.00761200067794097,0.0877821855788514,0.408369927618525,0.0873771831961506,0.0087233964791619,0.0890100351633499,2.39450962172212,80.1979055286241,352,1.74837866624196
50,216,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,1.15073017643701e-06,0.0896754548119309,0.411929349960921,0.0883802044930736,0.0403879711299389,0.0891957060410853,3.0526807776553,80.0348007055799,216,1.74837866624196
100,114,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.0332786661644093,0.0907502644913493,0.471072201087582,0.0900988762888382,0.042009350399646,0.0885286548523769,4.26555951947628,80.6201537758031,112,1.74837866624196
200,60,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.181901870332759,0.090452854595068,0.581183573197238,0.0887466617128815,0.045376950000136,0.0883332668314613,5.90570776827122,80.7912603826614,60,1.74837866624196
30,368,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.000537135574851575,0.0908047081523082,0.715798059961702,0.0877025242919851,0.0371050063366247,0.0891411705552928,2.34161552021013,80.0827211531373,368,1.74837866624196
50,232,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.498656455008104,0.0886787390527419,0.334593630731056,0.0851717826998355,0.0291047464219026,0.0889398531383312,2.96250678914225,80.2595242039078,232,1.74837866624196
100,126,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,5.79930411357802e-05,0.0889818307111975,0.428377980500253,0.0878205271428896,0.0264165723397588,0.0891234784654211,4.00337832070656,80.0982649188867,128,1.74837866624196
200,72,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.0301674468408384,0.0824278546355339,0.181396000703373,0.0878323768383799,0.0123705659064234,0.0880886696980636,5.42112987300987,81.0052129442069,72,1.74837866624196
30,404,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.00151132223169714,0.0837439412859555,0.81503733742468,0.0815783442983943,0.0127416392811647,0.0891650906288186,2.23365332660984,80.0617038522765,404,1.74837866624196
50,270,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.033647593568086,0.0836668928743427,0.726057121359866,0.0870146612393808,0.0183840040672379,0.0890247270886821,2.74089866062745,80.1850038847127,268,1.74837866624196
100,168,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.0208356099574271,0.0934561253969768,0.30702166402779,0.088678301468828,0.0405384042547657,0.0891686872650321,3.46351263079131,80.0585434999265,168,1.74837866624196
200,118,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.130602408748631,0.098353321172157,0.405321936133354,0.086388982493518,0.0465267709036535,0.0889551654465478,4.15253035227077,80.2460818566384,118,1.74837866624196
30,344,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.0433766732126567,0.0897847481438628,0.957814358532201,0.0880244793000847,0.0365720362754626,0.0892090408691255,2.41823889039651,80.0230817417069,344,1.74837866624196
50,208,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.000164064728380184,0.0892195884217693,0.6971354109422,0.0894916814918014,0.0429617563047846,0.0892124309109752,3.10966602224492,80.0201023915027,208,1.74837866624196
100,106,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.0104309526050785,0.0889606366317118,0.413128452766794,0.088046510501512,0.0283907111390089,0.0889984246700427,4.37702060659927,80.2081006501518,106,1.74837866624196
200,54,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.061244844513791,0.088823492715732,0.787188622396603,0.0885531894032659,0.0300892342100949,0.0889070167995308,6.14507526621276,80.2883474607027,54,1.74837866624196
30,354,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.00723126222308244,0.0892531920655846,0.0387092651375267,0.0876512935742543,0.0265471411982038,0.0890100351633499,2.39450962172212,80.1979055286241,352,1.74837866624196
50,216,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.127787749382972,0.0897421620947238,0.358957312313075,0.0882745565573867,0.0300213206822905,0.0891957060410853,3.0526807776553,80.0348007055799,216,1.74837866624196
100,114,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.119796838317053,0.0893557016165931,0.0374289169032022,0.08912728848306,0.0444319608298787,0.0885286548523769,4.26555951947628,80.6201537758031,112,1.74837866624196
200,60,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.000104074919390338,0.0909943289025115,0.329832563053217,0.0885545855886909,0.0426522901384838,0.0883332668314613,5.90570776827122,80.7912603826614,60,1.74837866624196
30,368,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.119620629207586,0.0855779249983185,0.210379102184371,0.0890398308951766,0.00412841367791966,0.0891411705552928,2.34161552021013,80.0827211531373,368,1.74837866624196
50,232,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.00354184442029081,0.0886711286947997,0.499224761760785,0.0838153274062361,0.0284780665544299,0.0889398531383312,2.96250678914225,80.2595242039078,232,1.74837866624196
100,126,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.0332309912494591,0.01,0.000639067293678274,0.0878026107764325,0.451557323846612,0.0896696043127311,0.0254462690835216,0.0891234784654211,4.00337832070656,80.0982649188867,128,1.74837866624196
